Autor1,Autor2,Evento
Maria Fiori,Marina Rocha,WIT
Alexandra S. Pereira,Antonio A. F. Loureiro,SBCUP
Alexandra S. Pereira,Fabrício A. Silva,SBCUP
Alexandra S. Pereira,Luiz H. A. Correia,SBCUP
Alexandra S. Pereira,Thais R. M. B. Silva,SBCUP
Antonio A. F. Loureiro,Fabrício A. Silva,SBCUP
Antonio A. F. Loureiro,Luiz H. A. Correia,SBCUP
Antonio A. F. Loureiro,Thais R. M. B. Silva,SBCUP
Fabrício A. Silva,Luiz H. A. Correia,SBCUP
Fabrício A. Silva,Thais R. M. B. Silva,SBCUP
Luiz H. A. Correia,Thais R. M. B. Silva,SBCUP
Alonso Ali,Orlando Lee,ETC
Leonardo Rocha,Luiz Felipe Chaves,CTIC
Leonardo Rocha,Nícollas Silva,CTIC
Luiz Felipe Chaves,Nícollas Silva,CTIC
Caroline Aparecida de Paula Silva,Cândida Nunes da Silva,CTIC
Caroline Aparecida de Paula Silva,Orlando Lee,CTIC
Cândida Nunes da Silva,Orlando Lee,CTIC
Caroline Silva,Cândida Silva,ETC
Caroline Silva,Orlando Lee,ETC
Cândida Silva,Orlando Lee,ETC
Carina Oliveira,Daniel Saraiva,WEI
Carina Oliveira,Erica Gallindo,WEI
Carina Oliveira,Reinaldo Braga,WEI
Carina Oliveira,Silas Pereira,WEI
Daniel Saraiva,Erica Gallindo,WEI
Daniel Saraiva,Reinaldo Braga,WEI
Daniel Saraiva,Silas Pereira,WEI
Erica Gallindo,Reinaldo Braga,WEI
Erica Gallindo,Silas Pereira,WEI
Reinaldo Braga,Silas Pereira,WEI
Diana Sasaki,Mauro N. Alves Junior,ETC
Adriano H. Braga,Thalia S. Santana,WIT
Enio Pimenta,Leonardo Medeiros,ENCompIF
Enio Pimenta,Marcos Costa,ENCompIF
Enio Pimenta,Taígo Pedrosa,ENCompIF
Leonardo Medeiros,Marcos Costa,ENCompIF
Leonardo Medeiros,Taígo Pedrosa,ENCompIF
Marcos Costa,Taígo Pedrosa,ENCompIF
Carina Oliveira,Edgar Oliveira,WEI
Carina Oliveira,Helen Ferreira,WEI
Carina Oliveira,Mauro Oliveira,WEI
Carina Oliveira,Reinaldo Braga,WEI
Edgar Oliveira,Helen Ferreira,WEI
Edgar Oliveira,Mauro Oliveira,WEI
Edgar Oliveira,Reinaldo Braga,WEI
Helen Ferreira,Mauro Oliveira,WEI
Helen Ferreira,Reinaldo Braga,WEI
Mauro Oliveira,Reinaldo Braga,WEI
Igor Moraes,Júlio César Resende,CTIC
Igor Moraes,Leonardo Rocha,CTIC
Júlio César Resende,Leonardo Rocha,CTIC
Augusto V. Neto,Eduardo Grampín,SBCUP
Augusto V. Neto,Erika Rosas,SBCUP
Augusto V. Neto,Javier Baliosian,SBCUP
Augusto V. Neto,Martín Gutiérrez,SBCUP
Augusto V. Neto,Nicolás Hidalgo,SBCUP
Augusto V. Neto,Paulo R. Coelho,SBCUP
Augusto V. Neto,Rafael Pasquini,SBCUP
Augusto V. Neto,Rodrigo S. Miani,SBCUP
Eduardo Grampín,Erika Rosas,SBCUP
Eduardo Grampín,Javier Baliosian,SBCUP
Eduardo Grampín,Martín Gutiérrez,SBCUP
Eduardo Grampín,Nicolás Hidalgo,SBCUP
Eduardo Grampín,Paulo R. Coelho,SBCUP
Eduardo Grampín,Rafael Pasquini,SBCUP
Eduardo Grampín,Rodrigo S. Miani,SBCUP
Erika Rosas,Javier Baliosian,SBCUP
Erika Rosas,Martín Gutiérrez,SBCUP
Erika Rosas,Nicolás Hidalgo,SBCUP
Erika Rosas,Paulo R. Coelho,SBCUP
Erika Rosas,Rafael Pasquini,SBCUP
Erika Rosas,Rodrigo S. Miani,SBCUP
Javier Baliosian,Martín Gutiérrez,SBCUP
Javier Baliosian,Nicolás Hidalgo,SBCUP
Javier Baliosian,Paulo R. Coelho,SBCUP
Javier Baliosian,Rafael Pasquini,SBCUP
Javier Baliosian,Rodrigo S. Miani,SBCUP
Martín Gutiérrez,Nicolás Hidalgo,SBCUP
Martín Gutiérrez,Paulo R. Coelho,SBCUP
Martín Gutiérrez,Rafael Pasquini,SBCUP
Martín Gutiérrez,Rodrigo S. Miani,SBCUP
Nicolás Hidalgo,Paulo R. Coelho,SBCUP
Nicolás Hidalgo,Rafael Pasquini,SBCUP
Nicolás Hidalgo,Rodrigo S. Miani,SBCUP
Paulo R. Coelho,Rafael Pasquini,SBCUP
Paulo R. Coelho,Rodrigo S. Miani,SBCUP
Rafael Pasquini,Rodrigo S. Miani,SBCUP
Alane M. de Lima,André L. Vignatti,ETC
Alane M. de Lima,Murilo V. G. da Silva,ETC
André L. Vignatti,Murilo V. G. da Silva,ETC
Claiton Correa,Dariane Abich,ENCompIF
Claiton Correa,Moraes Neto,ENCompIF
Claiton Correa,Rafael Parizi,ENCompIF
Dariane Abich,Moraes Neto,ENCompIF
Dariane Abich,Rafael Parizi,ENCompIF
Moraes Neto,Rafael Parizi,ENCompIF
Ana Lucia Machado dos Santos,David B. F. Oliveira,WEI
Ana Lucia Machado dos Santos,Elaine H. T. Oliveira,WEI
Ana Lucia Machado dos Santos,Filipe Dwan Pereira,WEI
Ana Lucia Machado dos Santos,Leandro S. G. Carvalho,WEI
David B. F. Oliveira,Elaine H. T. Oliveira,WEI
David B. F. Oliveira,Filipe Dwan Pereira,WEI
David B. F. Oliveira,Leandro S. G. Carvalho,WEI
Elaine H. T. Oliveira,Filipe Dwan Pereira,WEI
Elaine H. T. Oliveira,Leandro S. G. Carvalho,WEI
Filipe Dwan Pereira,Leandro S. G. Carvalho,WEI
André Constantino da Silva,Carlos Roberto dos Santos Junior,WIT
André Constantino da Silva,Daniela Marques,WIT
André Constantino da Silva,Gustavo Bartz Guedes,WIT
Carlos Roberto dos Santos Junior,Daniela Marques,WIT
Carlos Roberto dos Santos Junior,Gustavo Bartz Guedes,WIT
Daniela Marques,Gustavo Bartz Guedes,WIT
Erick Hostin,Ivo Riegel,ENCompIF
Erick Hostin,Jefferson Chaves,ENCompIF
Erick Hostin,Jeliel Braz,ENCompIF
Erick Hostin,Marcio Piffer,ENCompIF
Erick Hostin,Yuri Salvador,ENCompIF
Ivo Riegel,Jefferson Chaves,ENCompIF
Ivo Riegel,Jeliel Braz,ENCompIF
Ivo Riegel,Marcio Piffer,ENCompIF
Ivo Riegel,Yuri Salvador,ENCompIF
Jefferson Chaves,Jeliel Braz,ENCompIF
Jefferson Chaves,Marcio Piffer,ENCompIF
Jefferson Chaves,Yuri Salvador,ENCompIF
Jeliel Braz,Marcio Piffer,ENCompIF
Jeliel Braz,Yuri Salvador,ENCompIF
Marcio Piffer,Yuri Salvador,ENCompIF
Adriano Braga,Ianka Assis,WIT
Adriano Braga,Natália C. Louzada,WIT
Adriano Braga,Ramayane Braga,WIT
Adriano Braga,Thalia Santana,WIT
Ianka Assis,Natália C. Louzada,WIT
Ianka Assis,Ramayane Braga,WIT
Ianka Assis,Thalia Santana,WIT
Natália C. Louzada,Ramayane Braga,WIT
Natália C. Louzada,Thalia Santana,WIT
Ramayane Braga,Thalia Santana,WIT
Cristiano Maciel,Fernanda Pires,WIT
Cristiano Maciel,Jean Rangel,WIT
Cristiano Maciel,João Bernado,WIT
Cristiano Maciel,Karla Pereira,WIT
Cristiano Maciel,Larissa Pessoa,WIT
Cristiano Maciel,Rosiane Freitas,WIT
Cristiano Maciel,Silvia Bim,WIT
Fernanda Pires,Jean Rangel,WIT
Fernanda Pires,João Bernado,WIT
Fernanda Pires,Karla Pereira,WIT
Fernanda Pires,Larissa Pessoa,WIT
Fernanda Pires,Rosiane Freitas,WIT
Fernanda Pires,Silvia Bim,WIT
Jean Rangel,João Bernado,WIT
Jean Rangel,Karla Pereira,WIT
Jean Rangel,Larissa Pessoa,WIT
Jean Rangel,Rosiane Freitas,WIT
Jean Rangel,Silvia Bim,WIT
João Bernado,Karla Pereira,WIT
João Bernado,Larissa Pessoa,WIT
João Bernado,Rosiane Freitas,WIT
João Bernado,Silvia Bim,WIT
Karla Pereira,Larissa Pessoa,WIT
Karla Pereira,Rosiane Freitas,WIT
Karla Pereira,Silvia Bim,WIT
Larissa Pessoa,Rosiane Freitas,WIT
Larissa Pessoa,Silvia Bim,WIT
Rosiane Freitas,Silvia Bim,WIT
Davi Viana,Flávia Carvalho,WEI
Davi Viana,Luis Rivero,WEI
Davi Viana,Sebastião Santos,WEI
Flávia Carvalho,Luis Rivero,WEI
Flávia Carvalho,Sebastião Santos,WEI
Luis Rivero,Sebastião Santos,WEI
Fernando Matos,Robertson Lima,SBCUP
André Riker,Denis Rosário,SBCUP
André Riker,Renato Mota,SBCUP
Denis Rosário,Renato Mota,SBCUP
Joilson Oliveira Telles,Lara Mello do Nascimento,ENCompIF
Joilson Oliveira Telles,Leonardo Renner Koppe,ENCompIF
Joilson Oliveira Telles,Naira Kaieski,ENCompIF
Joilson Oliveira Telles,William Augusto Pez,ENCompIF
Lara Mello do Nascimento,Leonardo Renner Koppe,ENCompIF
Lara Mello do Nascimento,Naira Kaieski,ENCompIF
Lara Mello do Nascimento,William Augusto Pez,ENCompIF
Leonardo Renner Koppe,Naira Kaieski,ENCompIF
Leonardo Renner Koppe,William Augusto Pez,ENCompIF
Naira Kaieski,William Augusto Pez,ENCompIF
Andre Aquino,Cristopher Freitas,SBCUP
Andre Aquino,Givanildo Júnior,SBCUP
Andre Aquino,Osvaldo Rosso,SBCUP
Cristopher Freitas,Givanildo Júnior,SBCUP
Cristopher Freitas,Osvaldo Rosso,SBCUP
Givanildo Júnior,Osvaldo Rosso,SBCUP
Fabiano de Souza Oliveira,Jayme Luiz Szwarcfiter,ETC
Fabiano de Souza Oliveira,Lívia Salgado Medeiros,ETC
Jayme Luiz Szwarcfiter,Lívia Salgado Medeiros,ETC
Eduardo Cambruzzi,Jessica de S. Santana,WEI
Alessandra Martins Coelho,Gabriela Cardoso Montes,WIT
Alessandra Martins Coelho,Ivy Oliveira Magesti,WIT
Alessandra Martins Coelho,Julie Silva Pereira,WIT
Alessandra Martins Coelho,Luiza Rosa de Moura,WIT
Alessandra Martins Coelho,Nurian Maria Amâncio Coelho,WIT
Gabriela Cardoso Montes,Ivy Oliveira Magesti,WIT
Gabriela Cardoso Montes,Julie Silva Pereira,WIT
Gabriela Cardoso Montes,Luiza Rosa de Moura,WIT
Gabriela Cardoso Montes,Nurian Maria Amâncio Coelho,WIT
Ivy Oliveira Magesti,Julie Silva Pereira,WIT
Ivy Oliveira Magesti,Luiza Rosa de Moura,WIT
Ivy Oliveira Magesti,Nurian Maria Amâncio Coelho,WIT
Julie Silva Pereira,Luiza Rosa de Moura,WIT
Julie Silva Pereira,Nurian Maria Amâncio Coelho,WIT
Luiza Rosa de Moura,Nurian Maria Amâncio Coelho,WIT
Gilberto Müller,Michelle Martins,WEI
Dilma da Silva,Edison Ishikawa,WEI
Dilma da Silva,Marcelo Mandelli,WEI
Dilma da Silva,Maristela Holanda,WEI
Edison Ishikawa,Marcelo Mandelli,WEI
Edison Ishikawa,Maristela Holanda,WEI
Marcelo Mandelli,Maristela Holanda,WEI
Cristiano Maciel,Sabrina B. Sassi,WEI
