Autor1,Autor2,Evento
Daniel L. Ferrão,Paulo A. Dal Fabbro,SEMISH
Heider Marconi G. Madureira,Marcos B. Hervé,SEMISH
Heider Marconi G. Madureira,Murilo P. Pessatti,SEMISH
Heider Marconi G. Madureira,Paulo A. Dal Fabbro,SEMISH
Marcos B. Hervé,Murilo P. Pessatti,SEMISH
Marcos B. Hervé,Paulo A. Dal Fabbro,SEMISH
Murilo P. Pessatti,Paulo A. Dal Fabbro,SEMISH
Carolinne Roque e Faria,Maurilio Martins Campano Júnior,SEMISH
Arthur Artoni,Bruno Oliveira,SEMISH
Fábio Botler,Luiz Hoffmann,ETC
Ariana R. Cursino,Juliana F. P. Martinez,WIT
Claiton Correa,Daila Rita Becker Nunes,ENCompIF
Claiton Correa,Luciéli Tolfo Beque Guerra,ENCompIF
Daila Rita Becker Nunes,Luciéli Tolfo Beque Guerra,ENCompIF
Anna Beatriz Marques,Lauana Maria C. de Oliveira,WIT
Geovanna Evelyn Taype Espinoza,Maria Cecilia Calani Baranauskas,SEMISH
Aline Sousa,Natasha Valentim,WASHES
Adrisson Rodrigues,João Marcos Cavalcanti,SEMISH
Adrisson Rodrigues,Marcela Pessoa,SEMISH
Adrisson Rodrigues,Robson Melo,SEMISH
Adrisson Rodrigues,Sergio Cleger,SEMISH
João Marcos Cavalcanti,Marcela Pessoa,SEMISH
João Marcos Cavalcanti,Robson Melo,SEMISH
João Marcos Cavalcanti,Sergio Cleger,SEMISH
Marcela Pessoa,Robson Melo,SEMISH
Marcela Pessoa,Sergio Cleger,SEMISH
Robson Melo,Sergio Cleger,SEMISH
Fernanda Pires,Karolayne Teixeira,WEI
Fernanda Pires,Marcela Pessoa,WEI
Karolayne Teixeira,Marcela Pessoa,WEI
Herik S. Lorenção,Rafael V. M. Santos,ENCompIF
Amanda Lisboa Pereira,Luis F. Pozas,ENCompIF
Erick T. A. Silva,Melise M. V. Paula,SEMISH
Erick T. A. Silva,Rafael M. D.,SEMISH
Erick T. A. Silva,Vanessa C. O. Souza,SEMISH
Melise M. V. Paula,Rafael M. D.,SEMISH
Melise M. V. Paula,Vanessa C. O. Souza,SEMISH
Rafael M. D.,Vanessa C. O. Souza,SEMISH
André Ferraz,Carlos Ferraz,SEMISH
Helio Pedrini,Marcos Roberto e Souza,CTD
André Peres,Fernanda Nunes Deitos,ENCompIF
André Peres,Fábio Yoshimitsu Okuyama,ENCompIF
André Peres,Lilian Stavizki,ENCompIF
André Peres,Marcelo Augusto Rauh Schimitt,ENCompIF
André Peres,Marlon Carvalho Mariano,ENCompIF
André Peres,Márcia Häfele Islabão Franco,ENCompIF
André Peres,Silvia de Castro Bertagnolli,ENCompIF
Fernanda Nunes Deitos,Fábio Yoshimitsu Okuyama,ENCompIF
Fernanda Nunes Deitos,Lilian Stavizki,ENCompIF
Fernanda Nunes Deitos,Marcelo Augusto Rauh Schimitt,ENCompIF
Fernanda Nunes Deitos,Marlon Carvalho Mariano,ENCompIF
Fernanda Nunes Deitos,Márcia Häfele Islabão Franco,ENCompIF
Fernanda Nunes Deitos,Silvia de Castro Bertagnolli,ENCompIF
Fábio Yoshimitsu Okuyama,Lilian Stavizki,ENCompIF
Fábio Yoshimitsu Okuyama,Marcelo Augusto Rauh Schimitt,ENCompIF
Fábio Yoshimitsu Okuyama,Marlon Carvalho Mariano,ENCompIF
Fábio Yoshimitsu Okuyama,Márcia Häfele Islabão Franco,ENCompIF
Fábio Yoshimitsu Okuyama,Silvia de Castro Bertagnolli,ENCompIF
Lilian Stavizki,Marcelo Augusto Rauh Schimitt,ENCompIF
Lilian Stavizki,Marlon Carvalho Mariano,ENCompIF
Lilian Stavizki,Márcia Häfele Islabão Franco,ENCompIF
Lilian Stavizki,Silvia de Castro Bertagnolli,ENCompIF
Marcelo Augusto Rauh Schimitt,Marlon Carvalho Mariano,ENCompIF
Marcelo Augusto Rauh Schimitt,Márcia Häfele Islabão Franco,ENCompIF
Marcelo Augusto Rauh Schimitt,Silvia de Castro Bertagnolli,ENCompIF
Marlon Carvalho Mariano,Márcia Häfele Islabão Franco,ENCompIF
Marlon Carvalho Mariano,Silvia de Castro Bertagnolli,ENCompIF
Márcia Häfele Islabão Franco,Silvia de Castro Bertagnolli,ENCompIF
Airton Zancanaro,Carla Grossl,ENCompIF
Airton Zancanaro,Déborah Kosak Klagenberg,ENCompIF
Airton Zancanaro,Kemely Kedny Pezzini,ENCompIF
Airton Zancanaro,Letícia Hümmelgen,ENCompIF
Airton Zancanaro,Nágila Cristina Hinckel,ENCompIF
Airton Zancanaro,Thainá Schroeder Ribeiro,ENCompIF
Carla Grossl,Déborah Kosak Klagenberg,ENCompIF
Carla Grossl,Kemely Kedny Pezzini,ENCompIF
Carla Grossl,Letícia Hümmelgen,ENCompIF
Carla Grossl,Nágila Cristina Hinckel,ENCompIF
Carla Grossl,Thainá Schroeder Ribeiro,ENCompIF
Déborah Kosak Klagenberg,Kemely Kedny Pezzini,ENCompIF
Déborah Kosak Klagenberg,Letícia Hümmelgen,ENCompIF
Déborah Kosak Klagenberg,Nágila Cristina Hinckel,ENCompIF
Déborah Kosak Klagenberg,Thainá Schroeder Ribeiro,ENCompIF
Kemely Kedny Pezzini,Letícia Hümmelgen,ENCompIF
Kemely Kedny Pezzini,Nágila Cristina Hinckel,ENCompIF
Kemely Kedny Pezzini,Thainá Schroeder Ribeiro,ENCompIF
Letícia Hümmelgen,Nágila Cristina Hinckel,ENCompIF
Letícia Hümmelgen,Thainá Schroeder Ribeiro,ENCompIF
Nágila Cristina Hinckel,Thainá Schroeder Ribeiro,ENCompIF
Cabral Lima,Daniel Menasch,WPerformance
Cabral Lima,Italo Cunha,WPerformance
Cabral Lima,Leandro P. de Aguiar,WPerformance
Daniel Menasch,Italo Cunha,WPerformance
Daniel Menasch,Leandro P. de Aguiar,WPerformance
Italo Cunha,Leandro P. de Aguiar,WPerformance
Renato Eubank de Almeida,Rodrigo Gabriel Galeano da Silva,ENCompIF
Bruno P. Masquio,Guilherme de C. M. Gomes,ETC
Bruno P. Masquio,Jayme L. Szwarcfiter,ETC
Bruno P. Masquio,Paulo E. D. Pinto,ETC
Bruno P. Masquio,Vinicius F. Santos,ETC
Guilherme de C. M. Gomes,Jayme L. Szwarcfiter,ETC
Guilherme de C. M. Gomes,Paulo E. D. Pinto,ETC
Guilherme de C. M. Gomes,Vinicius F. Santos,ETC
Jayme L. Szwarcfiter,Paulo E. D. Pinto,ETC
Jayme L. Szwarcfiter,Vinicius F. Santos,ETC
Paulo E. D. Pinto,Vinicius F. Santos,ETC
Eduardo Cunha de Almeida,Eduardo Henrique Monteiro Pena,CTD
Cristiano Maciel,Karen Ribeiro,WIT
Diego P. Rubert,Fábio H. V. Martinez,CTD
Diego P. Rubert,Jens Stoye,CTD
Fábio H. V. Martinez,Jens Stoye,CTD
Ana Santos,Elaine Oliveira,WEI
Ana Santos,Fabíola G. Nakamura,WEI
Ana Santos,Leandro Carvalho,WEI
Elaine Oliveira,Fabíola G. Nakamura,WEI
Elaine Oliveira,Leandro Carvalho,WEI
Fabíola G. Nakamura,Leandro Carvalho,WEI
Fabrício Pinto,Paulo Silva,WEI
Calebe Conceição,Carla Aquino,ENCompIF
Calebe Conceição,Glederson Santos,ENCompIF
Calebe Conceição,Pedro Mietliki,ENCompIF
Carla Aquino,Glederson Santos,ENCompIF
Carla Aquino,Pedro Mietliki,ENCompIF
Glederson Santos,Pedro Mietliki,ENCompIF
Antônio Pinto,Ednara Pereira,WEI
Antônio Pinto,Fernando Leite,WEI
Antônio Pinto,Gabriel Cardoso,WEI
Antônio Pinto,Geraldo Braz Junior,WEI
Antônio Pinto,Igor Estrela,WEI
Antônio Pinto,Luis Rivero,WEI
Ednara Pereira,Fernando Leite,WEI
Ednara Pereira,Gabriel Cardoso,WEI
Ednara Pereira,Geraldo Braz Junior,WEI
Ednara Pereira,Igor Estrela,WEI
Ednara Pereira,Luis Rivero,WEI
Fernando Leite,Gabriel Cardoso,WEI
Fernando Leite,Geraldo Braz Junior,WEI
Fernando Leite,Igor Estrela,WEI
Fernando Leite,Luis Rivero,WEI
Gabriel Cardoso,Geraldo Braz Junior,WEI
Gabriel Cardoso,Igor Estrela,WEI
Gabriel Cardoso,Luis Rivero,WEI
Geraldo Braz Junior,Igor Estrela,WEI
Geraldo Braz Junior,Luis Rivero,WEI
Igor Estrela,Luis Rivero,WEI
Bruno Masquio,Jayme L. Szwarcfiter,ETC
Bruno Masquio,Paulo Pinto,ETC
Jayme L. Szwarcfiter,Paulo Pinto,ETC
Amanda de Oliveira Casagrande,Caroline Reis Vieira Santos Rauta,WIT
Amanda de Oliveira Casagrande,Daniela Sbizera Justo,WIT
Amanda de Oliveira Casagrande,Rayana Prata Neves,WIT
Caroline Reis Vieira Santos Rauta,Daniela Sbizera Justo,WIT
Caroline Reis Vieira Santos Rauta,Rayana Prata Neves,WIT
Daniela Sbizera Justo,Rayana Prata Neves,WIT
Denis Rosário,Eduardo Cerqueira,SBCUP
Denis Rosário,Felipe Araújo,SBCUP
Denis Rosário,Geam Pfeiff,SBCUP
Denis Rosário,Helder Oliveira,SBCUP
Eduardo Cerqueira,Felipe Araújo,SBCUP
Eduardo Cerqueira,Geam Pfeiff,SBCUP
Eduardo Cerqueira,Helder Oliveira,SBCUP
Felipe Araújo,Geam Pfeiff,SBCUP
Felipe Araújo,Helder Oliveira,SBCUP
Geam Pfeiff,Helder Oliveira,SBCUP
Benediel Gonçalves,Carlos Portela,WEI
Benediel Gonçalves,Elison Nascimento,WEI
Benediel Gonçalves,Enio Monteiro,WEI
Benediel Gonçalves,Sandra Oliveira,WEI
Carlos Portela,Elison Nascimento,WEI
Carlos Portela,Enio Monteiro,WEI
Carlos Portela,Sandra Oliveira,WEI
Elison Nascimento,Enio Monteiro,WEI
Elison Nascimento,Sandra Oliveira,WEI
Enio Monteiro,Sandra Oliveira,WEI
Emmerson Silva,Marcia Martins,ENCompIF
Emmerson Silva,Miguel Oliveira,ENCompIF
Marcia Martins,Miguel Oliveira,ENCompIF
Carlos Maurício Seródio Figueiredo,Luiz Carlos Silva de Araújo Filho,SBCUP
Elis Hernandes,João Choma Neto,WEI
Elis Hernandes,Leo Natan Paschoal,WEI
Elis Hernandes,Simone R. S. Souza,WEI
João Choma Neto,Leo Natan Paschoal,WEI
João Choma Neto,Simone R. S. Souza,WEI
Leo Natan Paschoal,Simone R. S. Souza,WEI
Ivan Machado,Joselito Mota Júnior,CTIC
Beatriz Becker,Camila Laricchia,WIT
Beatriz Becker,Denise Siloto,WIT
Beatriz Becker,Elisa Rocha,WIT
Beatriz Becker,Flávia Villela,WIT
Beatriz Becker,Francisco Campos,WIT
Beatriz Becker,Gabriel SantClair,WIT
Beatriz Becker,Janaina Gomide,WIT
Beatriz Becker,Julia Godinho,WIT
Beatriz Becker,Júlia Marotti,WIT
Beatriz Becker,Laura Emmanuella de Oliveira,WIT
Beatriz Becker,Milena Estanislau,WIT
Beatriz Becker,Tabatta Martins,WIT
Beatriz Becker,Valeria Nunes Belmonte,WIT
Camila Laricchia,Denise Siloto,WIT
Camila Laricchia,Elisa Rocha,WIT
Camila Laricchia,Flávia Villela,WIT
Camila Laricchia,Francisco Campos,WIT
Camila Laricchia,Gabriel SantClair,WIT
Camila Laricchia,Janaina Gomide,WIT
Camila Laricchia,Julia Godinho,WIT
Camila Laricchia,Júlia Marotti,WIT
Camila Laricchia,Laura Emmanuella de Oliveira,WIT
Camila Laricchia,Milena Estanislau,WIT
Camila Laricchia,Tabatta Martins,WIT
Camila Laricchia,Valeria Nunes Belmonte,WIT
Denise Siloto,Elisa Rocha,WIT
Denise Siloto,Flávia Villela,WIT
Denise Siloto,Francisco Campos,WIT
Denise Siloto,Gabriel SantClair,WIT
Denise Siloto,Janaina Gomide,WIT
Denise Siloto,Julia Godinho,WIT
Denise Siloto,Júlia Marotti,WIT
Denise Siloto,Laura Emmanuella de Oliveira,WIT
Denise Siloto,Milena Estanislau,WIT
Denise Siloto,Tabatta Martins,WIT
Denise Siloto,Valeria Nunes Belmonte,WIT
Elisa Rocha,Flávia Villela,WIT
Elisa Rocha,Francisco Campos,WIT
Elisa Rocha,Gabriel SantClair,WIT
Elisa Rocha,Janaina Gomide,WIT
Elisa Rocha,Julia Godinho,WIT
Elisa Rocha,Júlia Marotti,WIT
Elisa Rocha,Laura Emmanuella de Oliveira,WIT
Elisa Rocha,Milena Estanislau,WIT
Elisa Rocha,Tabatta Martins,WIT
Elisa Rocha,Valeria Nunes Belmonte,WIT
Flávia Villela,Francisco Campos,WIT
Flávia Villela,Gabriel SantClair,WIT
Flávia Villela,Janaina Gomide,WIT
Flávia Villela,Julia Godinho,WIT
Flávia Villela,Júlia Marotti,WIT
Flávia Villela,Laura Emmanuella de Oliveira,WIT
Flávia Villela,Milena Estanislau,WIT
Flávia Villela,Tabatta Martins,WIT
Flávia Villela,Valeria Nunes Belmonte,WIT
Francisco Campos,Gabriel SantClair,WIT
Francisco Campos,Janaina Gomide,WIT
Francisco Campos,Julia Godinho,WIT
Francisco Campos,Júlia Marotti,WIT
Francisco Campos,Laura Emmanuella de Oliveira,WIT
Francisco Campos,Milena Estanislau,WIT
Francisco Campos,Tabatta Martins,WIT
Francisco Campos,Valeria Nunes Belmonte,WIT
Gabriel SantClair,Janaina Gomide,WIT
Gabriel SantClair,Julia Godinho,WIT
Gabriel SantClair,Júlia Marotti,WIT
Gabriel SantClair,Laura Emmanuella de Oliveira,WIT
Gabriel SantClair,Milena Estanislau,WIT
Gabriel SantClair,Tabatta Martins,WIT
Gabriel SantClair,Valeria Nunes Belmonte,WIT
Janaina Gomide,Julia Godinho,WIT
Janaina Gomide,Júlia Marotti,WIT
Janaina Gomide,Laura Emmanuella de Oliveira,WIT
Janaina Gomide,Milena Estanislau,WIT
Janaina Gomide,Tabatta Martins,WIT
Janaina Gomide,Valeria Nunes Belmonte,WIT
Julia Godinho,Júlia Marotti,WIT
Julia Godinho,Laura Emmanuella de Oliveira,WIT
Julia Godinho,Milena Estanislau,WIT
Julia Godinho,Tabatta Martins,WIT
Julia Godinho,Valeria Nunes Belmonte,WIT
Júlia Marotti,Laura Emmanuella de Oliveira,WIT
Júlia Marotti,Milena Estanislau,WIT
Júlia Marotti,Tabatta Martins,WIT
Júlia Marotti,Valeria Nunes Belmonte,WIT
Laura Emmanuella de Oliveira,Milena Estanislau,WIT
Laura Emmanuella de Oliveira,Tabatta Martins,WIT
Laura Emmanuella de Oliveira,Valeria Nunes Belmonte,WIT
Milena Estanislau,Tabatta Martins,WIT
Milena Estanislau,Valeria Nunes Belmonte,WIT
Tabatta Martins,Valeria Nunes Belmonte,WIT
Bruno Zatt,Daniel M. Palomino,CTD
Bruno Zatt,Marcelo S. Porto,CTD
Bruno Zatt,Wagner I. Penny,CTD
Daniel M. Palomino,Marcelo S. Porto,CTD
Daniel M. Palomino,Wagner I. Penny,CTD
Marcelo S. Porto,Wagner I. Penny,CTD
Bruno Monteiro,Vinicius F. dos Santos,ETC
Emanuel Felipe Duarte,Josiane Rosa de Oliveira Gaia Pimenta,SEMISH
Emanuel Felipe Duarte,Maria Cecilia Calani Baranauskas,SEMISH
Josiane Rosa de Oliveira Gaia Pimenta,Maria Cecilia Calani Baranauskas,SEMISH
Carla M. D. S. Freitas,Jorge A. Wagner Filho,CTD
Carla M. D. S. Freitas,Luciana Nedel,CTD
Jorge A. Wagner Filho,Luciana Nedel,CTD
Aluizio Rocha,Arthur Souza,SBCUP
Aluizio Rocha,Dannylo Johnathan,SBCUP
Aluizio Rocha,Mário Melo,SBCUP
Aluizio Rocha,Rafael Queiroz,SBCUP
Arthur Souza,Dannylo Johnathan,SBCUP
Arthur Souza,Mário Melo,SBCUP
Arthur Souza,Rafael Queiroz,SBCUP
Dannylo Johnathan,Mário Melo,SBCUP
Dannylo Johnathan,Rafael Queiroz,SBCUP
Mário Melo,Rafael Queiroz,SBCUP
Alex Barradas Filho,Allan K. Barros,WEI
Alex Barradas Filho,Davi Viana,WEI
Alex Barradas Filho,João B. Bottentuit Junior,WEI
Alex Barradas Filho,Luis Rivero,WEI
Allan K. Barros,Davi Viana,WEI
Allan K. Barros,João B. Bottentuit Junior,WEI
Allan K. Barros,Luis Rivero,WEI
Davi Viana,João B. Bottentuit Junior,WEI
Davi Viana,Luis Rivero,WEI
João B. Bottentuit Junior,Luis Rivero,WEI
Andre Aquino,Maurício Silva,SBCUP
Andre Aquino,Ricardo Oliveira,SBCUP
Maurício Silva,Ricardo Oliveira,SBCUP
Bosco Borges A. F.,Maria de Fátima P. Ferreira,WEI
Bosco Borges A. F.,Rossana M. C. Andrade,WEI
Bosco Borges A. F.,Rubens Anderson de S. Silva,WEI
Maria de Fátima P. Ferreira,Rossana M. C. Andrade,WEI
Maria de Fátima P. Ferreira,Rubens Anderson de S. Silva,WEI
Rossana M. C. Andrade,Rubens Anderson de S. Silva,WEI
Cristiano Galafassi,Eliseo Reategui,SEMISH
Cristiano Galafassi,Fabiane Galafassi,SEMISH
Cristiano Galafassi,Rosa Vicari,SEMISH
Eliseo Reategui,Fabiane Galafassi,SEMISH
Eliseo Reategui,Rosa Vicari,SEMISH
Fabiane Galafassi,Rosa Vicari,SEMISH
Daniel Xavier de Sousa,Marcos André Gonçalves,CTD
Alex B. Vieira,Artur Ziviani,WPerformance
Alex B. Vieira,Breno Machado,WPerformance
Alex B. Vieira,Italo Cunha,WPerformance
Artur Ziviani,Breno Machado,WPerformance
Artur Ziviani,Italo Cunha,WPerformance
Breno Machado,Italo Cunha,WPerformance
Fernanda S. H. de Souza,Geraldo R. Mateus,CTD
Fernanda S. H. de Souza,Samuel M. A. Araújo,CTD
Geraldo R. Mateus,Samuel M. A. Araújo,CTD
Andressa da Silva Siqueira,Beatriz Pereira,WIT
Andressa da Silva Siqueira,Laura Damaceno de Almeida,WIT
Andressa da Silva Siqueira,Poliana Nascimento Ferreira,WIT
Beatriz Pereira,Laura Damaceno de Almeida,WIT
Beatriz Pereira,Poliana Nascimento Ferreira,WIT
Laura Damaceno de Almeida,Poliana Nascimento Ferreira,WIT
Ermeson Andrade,Gabriel Alves,WPerformance
Ermeson Andrade,Júlio Mendonça,WPerformance
Ermeson Andrade,Wilson Medeiros,WPerformance
Gabriel Alves,Júlio Mendonça,WPerformance
Gabriel Alves,Wilson Medeiros,WPerformance
Júlio Mendonça,Wilson Medeiros,WPerformance
Felipe Rocha,Pedro Paulo Balbi,SEMISH
Andrea S. Charão,Fernando P. Barbosa,WEI
Andrea S. Charão,Karina Wiechork,WEI
Andrea S. Charão,Marlon L. S. Rodrigues,WEI
Fernando P. Barbosa,Karina Wiechork,WEI
Fernando P. Barbosa,Marlon L. S. Rodrigues,WEI
Karina Wiechork,Marlon L. S. Rodrigues,WEI
César Alberto da Silva,Robson Brito Santos,ENCompIF
Flávio R. C. Souza,Nídia G. S. Campos,SBCUP
Flávio R. C. Souza,Sayonara S. Araújo,SBCUP
Nídia G. S. Campos,Sayonara S. Araújo,SBCUP
Amanda Martins,Ayla Rebouças,WIT
Amanda Martins,Joana Silva,WIT
Amanda Martins,Joyce Santos,WIT
Ayla Rebouças,Joana Silva,WIT
Ayla Rebouças,Joyce Santos,WIT
Joana Silva,Joyce Santos,WIT
Daniela de Souza Gomes,Gabriel Philippe Pereira,WEI
Daniela de Souza Gomes,Giovanni Ventorim Comarela,WEI
Daniela de Souza Gomes,Marcos Henrique Fonseca Ribeiro,WEI
Gabriel Philippe Pereira,Giovanni Ventorim Comarela,WEI
Gabriel Philippe Pereira,Marcos Henrique Fonseca Ribeiro,WEI
Giovanni Ventorim Comarela,Marcos Henrique Fonseca Ribeiro,WEI
Ana Karolina Maia,Leonardo C. de Abreu,ETC
Ana Karolina Maia,Manoel Campêlo,ETC
Leonardo C. de Abreu,Manoel Campêlo,ETC
Alice Fonseca Finger,Aline Vieira de Mello,WIT
Alice Fonseca Finger,Andréa Sabedra Bordin,WIT
Aline Vieira de Mello,Andréa Sabedra Bordin,WIT
Aleteia P. F. Araujo,Alice Borges,WIT
Aleteia P. F. Araujo,Carla Cavalcante Koike,WIT
Aleteia P. F. Araujo,Fernanda de Sousa,WIT
Aleteia P. F. Araujo,Maristela Holanda,WIT
Aleteia P. F. Araujo,Roberta B. Oliveira,WIT
Alice Borges,Carla Cavalcante Koike,WIT
Alice Borges,Fernanda de Sousa,WIT
Alice Borges,Maristela Holanda,WIT
Alice Borges,Roberta B. Oliveira,WIT
Carla Cavalcante Koike,Fernanda de Sousa,WIT
Carla Cavalcante Koike,Maristela Holanda,WIT
Carla Cavalcante Koike,Roberta B. Oliveira,WIT
Fernanda de Sousa,Maristela Holanda,WIT
Fernanda de Sousa,Roberta B. Oliveira,WIT
Maristela Holanda,Roberta B. Oliveira,WIT
Andreza Sartori,Jennyfer Araújo,WIT
Andreza Sartori,Leonardo Fronza,WIT
Andreza Sartori,Luciana P. de Araújo Kohler,WIT
Jennyfer Araújo,Leonardo Fronza,WIT
Jennyfer Araújo,Luciana P. de Araújo Kohler,WIT
Leonardo Fronza,Luciana P. de Araújo Kohler,WIT
João Neto,Robson Bonidia,WEI
Clara Scheffer Emerich,Matheus Lorenzato Braga,ENCompIF
Clara Scheffer Emerich,Rafael Américo Fuhrich,ENCompIF
Clara Scheffer Emerich,Victor Martins de Sousa,ENCompIF
Matheus Lorenzato Braga,Rafael Américo Fuhrich,ENCompIF
Matheus Lorenzato Braga,Victor Martins de Sousa,ENCompIF
Rafael Américo Fuhrich,Victor Martins de Sousa,ENCompIF
Ialy C. Sousa,Iana Daya C. F. Passos,WIT
Ialy C. Sousa,Jerry A. Souza,WIT
Ialy C. Sousa,Lílian H. Teixeira,WIT
Ialy C. Sousa,Mary Karlla A. Guimarães,WIT
Ialy C. Sousa,Moacy P. Silva,WIT
Iana Daya C. F. Passos,Jerry A. Souza,WIT
Iana Daya C. F. Passos,Lílian H. Teixeira,WIT
Iana Daya C. F. Passos,Mary Karlla A. Guimarães,WIT
Iana Daya C. F. Passos,Moacy P. Silva,WIT
Jerry A. Souza,Lílian H. Teixeira,WIT
Jerry A. Souza,Mary Karlla A. Guimarães,WIT
Jerry A. Souza,Moacy P. Silva,WIT
Lílian H. Teixeira,Mary Karlla A. Guimarães,WIT
Lílian H. Teixeira,Moacy P. Silva,WIT
Mary Karlla A. Guimarães,Moacy P. Silva,WIT
Alexandre Ribeiro,Guilherme Londe,ETC
Alexandre Ribeiro,Jorge dos Santos,ETC
Alexandre Ribeiro,Welverton da Silva,ETC
Guilherme Londe,Jorge dos Santos,ETC
Guilherme Londe,Welverton da Silva,ETC
Jorge dos Santos,Welverton da Silva,ETC
Anselmo Paiva,Daniel Pinto,WEI
Anselmo Paiva,Eduarda Chagas,WEI
Anselmo Paiva,Gabriel Costa,WEI
Anselmo Paiva,Kennedy Nunes,WEI
Anselmo Paiva,Luis Rivero,WEI
Anselmo Paiva,Ricardo Anchieta,WEI
Anselmo Paiva,Simara Rocha,WEI
Daniel Pinto,Eduarda Chagas,WEI
Daniel Pinto,Gabriel Costa,WEI
Daniel Pinto,Kennedy Nunes,WEI
Daniel Pinto,Luis Rivero,WEI
Daniel Pinto,Ricardo Anchieta,WEI
Daniel Pinto,Simara Rocha,WEI
Eduarda Chagas,Gabriel Costa,WEI
Eduarda Chagas,Kennedy Nunes,WEI
Eduarda Chagas,Luis Rivero,WEI
Eduarda Chagas,Ricardo Anchieta,WEI
Eduarda Chagas,Simara Rocha,WEI
Gabriel Costa,Kennedy Nunes,WEI
Gabriel Costa,Luis Rivero,WEI
Gabriel Costa,Ricardo Anchieta,WEI
Gabriel Costa,Simara Rocha,WEI
Kennedy Nunes,Luis Rivero,WEI
Kennedy Nunes,Ricardo Anchieta,WEI
Kennedy Nunes,Simara Rocha,WEI
Luis Rivero,Ricardo Anchieta,WEI
Luis Rivero,Simara Rocha,WEI
Ricardo Anchieta,Simara Rocha,WEI
Allysson Allex Araújo,Emanuel Coutinho,WEI
Allysson Allex Araújo,Francisco Gomes,WEI
Allysson Allex Araújo,Jerffeson Souza,WEI
Allysson Allex Araújo,Saori Costa,WEI
Emanuel Coutinho,Francisco Gomes,WEI
Emanuel Coutinho,Jerffeson Souza,WEI
Emanuel Coutinho,Saori Costa,WEI
Francisco Gomes,Jerffeson Souza,WEI
Francisco Gomes,Saori Costa,WEI
Jerffeson Souza,Saori Costa,WEI
Laura Shibukawa,Mayara Yamanoe,WIT
Jéssica Gabrieli Schmitz Hahn,Leandro von Borstel Assmann,WIT
Jéssica Gabrieli Schmitz Hahn,Renata Luiza Muller,WIT
Jéssica Gabrieli Schmitz Hahn,Vanessa Petró,WIT
Jéssica Gabrieli Schmitz Hahn,Vinicius Hartmann Ferreira,WIT
Leandro von Borstel Assmann,Renata Luiza Muller,WIT
Leandro von Borstel Assmann,Vanessa Petró,WIT
Leandro von Borstel Assmann,Vinicius Hartmann Ferreira,WIT
Renata Luiza Muller,Vanessa Petró,WIT
Renata Luiza Muller,Vinicius Hartmann Ferreira,WIT
Vanessa Petró,Vinicius Hartmann Ferreira,WIT
Cristina Ciferri,Kalinka Branco,WIT
Cristina Ciferri,Viviana Noguera,WIT
Kalinka Branco,Viviana Noguera,WIT
Bianca M. Lopes,Júlio C. S. Mendes,SEMISH
Bianca M. Lopes,Karina M. Johansson,SEMISH
Bianca M. Lopes,Livy Real,SEMISH
Bianca M. Lopes,Márcio T. I. Oshiro,SEMISH
Júlio C. S. Mendes,Karina M. Johansson,SEMISH
Júlio C. S. Mendes,Livy Real,SEMISH
Júlio C. S. Mendes,Márcio T. I. Oshiro,SEMISH
Karina M. Johansson,Livy Real,SEMISH
Karina M. Johansson,Márcio T. I. Oshiro,SEMISH
Livy Real,Márcio T. I. Oshiro,SEMISH
Antônio Pereira,Luiz C. Ferreira,SEMISH
Antônio Pereira,Marcelino S. da Silva,SEMISH
Antônio Pereira,Rodrigo Dutra,SEMISH
Antônio Pereira,Vitor Hugo M. Gomes,SEMISH
Antônio Pereira,Weverson Nascimento,SEMISH
Luiz C. Ferreira,Marcelino S. da Silva,SEMISH
Luiz C. Ferreira,Rodrigo Dutra,SEMISH
Luiz C. Ferreira,Vitor Hugo M. Gomes,SEMISH
Luiz C. Ferreira,Weverson Nascimento,SEMISH
Marcelino S. da Silva,Rodrigo Dutra,SEMISH
Marcelino S. da Silva,Vitor Hugo M. Gomes,SEMISH
Marcelino S. da Silva,Weverson Nascimento,SEMISH
Rodrigo Dutra,Vitor Hugo M. Gomes,SEMISH
Rodrigo Dutra,Weverson Nascimento,SEMISH
Vitor Hugo M. Gomes,Weverson Nascimento,SEMISH
Eliane Pozzebon,Francielli Freitas Moro,WIT
Eliane Pozzebon,Luciana Bolan Frigo,WIT
Eliane Pozzebon,Rafaela Oliveira Padilha,WIT
Francielli Freitas Moro,Luciana Bolan Frigo,WIT
Francielli Freitas Moro,Rafaela Oliveira Padilha,WIT
Luciana Bolan Frigo,Rafaela Oliveira Padilha,WIT
André Silva,José Silva,WEI
André Silva,Letícia Oliveira,WEI
José Silva,Letícia Oliveira,WEI
Gabriel Nascimento,Márcia Oliveira,WIT
Gabriel Nascimento,Vania Marquiori,WIT
Márcia Oliveira,Vania Marquiori,WIT
Bruno Pereira,Francisco Henrique Ferreira,WASHES
Bruno Pereira,Luiz Alexandre Costa,WASHES
Bruno Pereira,Marcio Imamura,WASHES
Bruno Pereira,Rodrigo Pereira dos Santos,WASHES
Francisco Henrique Ferreira,Luiz Alexandre Costa,WASHES
Francisco Henrique Ferreira,Marcio Imamura,WASHES
Francisco Henrique Ferreira,Rodrigo Pereira dos Santos,WASHES
Luiz Alexandre Costa,Marcio Imamura,WASHES
Luiz Alexandre Costa,Rodrigo Pereira dos Santos,WASHES
