Autor_Canonico,Sigla
Robson G. Fechine Feitosa,ENCompIF
Yuri D. Santos,ENCompIF
Hanna Menezes,ENCompIF
Guilherme Á. R. M. Esmeraldo,ENCompIF
Harley M. de Mello,ENCompIF
Esdras Bispo Jr.,ENCompIF
Gustavo A. L. de Campos,ENCompIF
Havana Diogo Alves,ENCompIF
Egina Lima Martins,ENCompIF
Jarbas Nunes Vidal-Filho,ENCompIF
Maelly K. V. de Sousa,ENCompIF
Danyllo W. Albuquerque,ENCompIF
Raquel B. Leal,ENCompIF
Mirna C. O. Maia,ENCompIF
Gabrielly de S. Lima,ENCompIF
Danyllo W. Albuquerque,ENCompIF
Raquel B. Leal,ENCompIF
Ana C. A. Oliveira,ENCompIF
Ana Laura Barros de Melo,ENCompIF
André Luiz Firmino Alves,ENCompIF
Alex Muniz,ENCompIF
Matheus Kauê Fernandes Suzin,ENCompIF
Rafael Seisl Solanha,ENCompIF
Lucas Fernandes,ENCompIF
Rodrigo Espinosa Cabral,ENCompIF
Marlon Cordeiro Domenech,ENCompIF
André Luis Albuquerque Pinheiro,ENCompIF
Alan Emanuel Santos Figueiredo,ENCompIF
Francisco Cleber da Conceição Feitosa,ENCompIF
Francisco Rondynelle Rodrigues Sousa,ENCompIF
Francisco Gauberto Barros dos Santos,ENCompIF
Guilherme Álvaro Rodrigues Maia Esmeraldo,ENCompIF
Robson Gonçalves Fechine Feitosa,ENCompIF
Hilson G. V. de Andrade,ENCompIF
David de M. Borges,ENCompIF
Leandro H. C. Bernardes,ENCompIF
João Lucas A. de Albuquerque,ENCompIF
Luis Marcel G. A. de Almeida,ENCompIF
Daniel Barreiros de Farias,ENCompIF
Fernando Silvano Gonçalves,ENCompIF
Roberval Silva Bett,ENCompIF
Mateus F. L. Souza,ENCompIF
Cristiane N. Targa,ENCompIF
Carlos A. Silva,ENCompIF
Welton T. M. Sousa,ENCompIF
Carlos A. Silva,ENCompIF
Samuel O. S. Bianch,ENCompIF
Juliana S. Silva,ENCompIF
João G. R. Silva,ENCompIF
Igor de A. Lima,ENCompIF
Lucas H. F. Pavão,ENCompIF
Lilian B. B. Gomes,ENCompIF
Mateus H. S. Ferraz,ENCompIF
Aldo T. M. Sales,ENCompIF
Anderson L. S. Moreira,ENCompIF
Marco A. O. Domingues,ENCompIF
João Henrique Berssanette,ENCompIF
Antonio Carlos de Francisco,ENCompIF
Airton Zancanaro,ENCompIF
Carla Grossl,ENCompIF
Déborah Kosak Klagenberg,ENCompIF
Kemely Kedny Pezzini,ENCompIF
Letícia Hümmelgen,ENCompIF
Nágila Cristina Hinckel,ENCompIF
Thainá Schroeder Ribeiro,ENCompIF
Luisa S. Ferreira,ENCompIF
Sylvana Karla S. L. Santos,ENCompIF
Cristiane Jorge L. Bonfim,ENCompIF
Natália Bernardo Nunes,ENCompIF
Aline Silva De Bona,ENCompIF
Antônio Deivid Santos Costa,ENCompIF
Antonia Raiane Santos Araujo Cruz,ENCompIF
Ana Luisa D. Almeida,ENCompIF
Gabriel C. Carrara,ENCompIF
Isabele B. Prates,ENCompIF
Letícia C. T. Nascimento,ENCompIF
Pedro H. O. Souza,ENCompIF
Thiago G. de Almeida,ENCompIF
Renato C. Cani,ENCompIF
João Gabriel R. Silva,ENCompIF
Robson Brito Santos,ENCompIF
César Alberto da Silva,ENCompIF
João Victor da Costa,ENCompIF
Anderson Passos de Aragão,ENCompIF
Jonathan C. F. da Silva,ENCompIF
Leandro C. Resendo,ENCompIF
Jefferson Andrade,ENCompIF
Karin Komati,ENCompIF
Maria Dayane Almeida Araújo,ENCompIF
Rhyan Ximenes de Brito,ENCompIF
Herik S. Lorenção,ENCompIF
Rafael V. M. Santos,ENCompIF
Gabriel A. D. Miranda,ENCompIF
Gustavo Y. S. Azevedo,ENCompIF
Matheus S. Garofolo,ENCompIF
Lillia S. B. Silva,ENCompIF
Carlos A. Silva,ENCompIF
Diego Nunes Noceli,ENCompIF
Alessandra Martins Coelho,ENCompIF
Matheus de Freitas Oliveira Baffa,ENCompIF
Luiza Rosa de Moura,ENCompIF
Alessandra Martins Coelho,ENCompIF
Matheus de Freitas Oliveira Baffa,ENCompIF
Dorgival da Silva Pereira Netto,ENCompIF
Francesco Pagani Galvão,ENCompIF
Luiz Felipe de Souza Jimenez,ENCompIF
Renan Augusto Monteiro Duarte,ENCompIF
Amanda Lisboa Pereira,ENCompIF
Luis F. Pozas,ENCompIF
Marlon Carvalho Mariano,ENCompIF
Lilian Stavizki,ENCompIF
Márcia Häfele Islabão Franco,ENCompIF
Fernanda Nunes Deitos,ENCompIF
André Peres,ENCompIF
Fábio Yoshimitsu Okuyama,ENCompIF
