Nome_Original,Nome_Canonico
Silvia Bim,Silvia A. Bim
Silvia Amélia Bim,Silvia Amelia Bim
Sílvia Amélia Bim,Silvia Amelia Bim
Sônia Regina Fortes da Silva,Sônia R. Fortes da Silva
Taciana Pontual Falcão,Taciana Pontual Falcão
Tanilson Santos,Tanilson D. Santos
Thais R. M. Braga Silva,Thais R. M. B. Silva
Thalia S. de Santana,Thalia S. Santana
Thalia Santana,Thalia S. Santana
Thiago de Queiroz,Thiago A. de Queiroz
Uéverton Souza,Ueverton Souza
Vanessa F. Dantas,Vanessa Dantas
Vinicius F. dos Santos,Vinicius F. Santos
Vinicius dos Santos,Vinicius F. Santos
Vinícius R. P. Borges,Vinicius R. P. Borges
