Nome_Original,Nome_Canonico
João Gabriel Silva,João Gabriel R. Silva
Júlia Luiza Conceição,Julia Luiza da Conceição
Karina Branco,Kalinka Branco
Karin S. Komati,Karin Komati
Kelly Bianca Araújo Silva,Kelly Bianca Araujo Silva
Lara Gomes,Lana Gomes
Luciana Gomes,Lana Gomes
Lauana Maria C. de Oliveira,Lauana M. C. de Oliveira
Leonardo B. M. Silva,Leonardo A. Silva
Leonardo Silva,Leonardo A. Silva
Liria Sato,Liria M. Sato
Lucas L. de Oliveira,Lucas B. Oliveira
Lucas Silva,Lucas L. Silva
Luciana Bolan Frigo,Luciana B. Frigo
Luís Henrique M. K. Costa,Luis Henrique M. K. Costa
Lívia M. R. S. Campos,Lívia M. C. Campos
Marcelino Silva da Silva,Marcelino S. da Silva
Marcos C. da R. Seruffo,Marcos C. R. Seruffo
Maria Andréia Formico Rodrigues,Maria Andréia F. Rodrigues
Maria Cecília Calani Baranauskas,Maria Cecilia Calani Baranauskas
Maria Fernanda Abalem Franca Nunes Costa,Maria Fernanda Abalem Franca Nunes
Maria Júlia Marques Schettini,Maria Júlia M. Schettini
Maria Victoria Soares Fiori,Maria Victoria S. Fiori
Maria Victória Fiori,Maria Victoria S. Fiori
Marina da Silva Rocha,Marina da S. Rocha
Murilo Souza,Marlo Souza
Matheus F. de Oliveira,Matheus D. de Oliveira
Maurício M. Arimoto,Maurício Arimoto
Myllena C. de Oliveira,Mayra C. de Oliveira
Michele Brandão,Michele A. Brandão
Mirella Moro,Mirella M. Moro
Monica Pereira,Monica M. Pereira
Moysés Sampaio Jr.,Moysés Sampaio Jr
Márcia Gonçalves de Oliveira,Márcia Gonçalves Oliveira
Márcio de A. Miranda,Márcio A. Miranda
Natasha Malveira Costa Valentim,Natasha Malveira C. Valentim
Nathalia Gomes Teixeira,Nathalia G. Teixeira
Natália Louzada,Natália C. Louzada
Natália do C. Louzada,Natália C. Louzada
Núbia Rosa da Silva,Nubia Rosa da Silva
Otacílio Pereira,Otacílio José Pereira
Patrícia Abe Turato,Patricia Abe Turato
Patrícia Araújo-de-Oliveira,Patrícia Araújo de Oliveira
Rafael L. Gomes,Rafael Gomes
Rafaela Gomes,Rafael Gomes
Rafael S. Lopes,Rafael Lopes
Ramayane Braga,Ramayane B. Braga
Raul Lopes,Raquel Lopes
Rebeca M. de C. T. Figueiredo,Raquel M. de C. T. Figueiredo
Ronaldo Santos,Reginaldo Santos
Reinaldo Braga,Reinaldo B. Braga
Ricardo Vilela,Ricardo F. Vilela
Ricardo de Souza,Ricardo Souza
Robertino Mendes Santiago Junior,Robertino M. Santiago Junior
Roberto Bittencourt,Roberto A. Bittencourt
Rodrigo da R. Righi,Rodrigo R. Righi
Rômulo Silva de Oliveira,Romulo Silva de Oliveira
Ronney Moreira de Castro,Ronney Moreira Castro
Rosiane de Freitas,Rosiane Freitas
Samuel N. Araújo,Samuel M. A. Araújo
Sandro Oliveira,Sandra Oliveira
Sara M. Silva ,Sara M. Silva
Sergio T. Carvalho,Sergio Carvalho
Silvia Amélia Bim,Silvia Amelia Bim
Sílvia Amélia Bim,Silvia Amelia Bim
Taciana Pontual Falcão,Taciana Pontual Falcão
Tatiane Figueiredo,Tatiane F. Figueiredo
Thais V. Batista,Thais Batista
Thais R. M. Braga Silva,Thais R. M. B. Silva
Thais Regina de Moura Braga Silva,Thais R. de Moura Braga Silva
Thalia S. de Santana,Thalia S. Santana
Thalia Santana,Thalia S. Santana
Thiago de Queiroz,Thiago A. de Queiroz
Thiago R. Almeida,Thiago G. de Almeida
Vinicius F. dos Santos,Vinicius F. Santos
Vinicius dos Santos,Vinicius F. Santos
Vinícius R. P. Borges,Vinicius R. P. Borges
Vinícius Schineider Januário Viana,Vinicius Schineider Januário Viana
