Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Daniel Ratton Figueiredo,Homem,0.0016,3
Henrique José dos S. Ferreira Júnior ,Homem,0.0005,1
Matheus Guedes de Andrade,Homem,0.0011,2
Daniel Victor Teixeira Lima,Homem,0.0016,3
Francisco de Albuquerque Júnior,Homem,0.0016,3
Marcelino Silva da Silva,Homem,0.0016,3
Vanilze Vaz,Mulher,0.0016,3
Daniel Xavier de Sousa,Homem,0.0005,1
Marcos André Gonçalves,Homem,0.0005,1
Daniel da A. Souza,Homem,0.0027,5
Rita de C. P. Cunha,Mulher,0.0027,5
Daniel de Oliveira,Homem,0.0016,3
Esther Pacitti,Mulher,0.0016,3
Rodrigo A. P. Silva,Homem,0.0016,3
Yuri Frota,Homem,0.0016,3
Daniela de Souza Gomes,Mulher,0.0016,3
Gabriel Philippe Pereira,Homem,0.0016,3
Giovanni Ventorim Comarela,Homem,0.0016,3
Marcos Henrique Fonseca Ribeiro,Homem,0.0016,3
Danielle Martins,Mulher,0.0011,2
Fábio Oliveira,Homem,0.0011,2
Jamille Silva,Mulher,0.0011,2
Danilo Vasconcelos,Homem,0.0011,2
Rossana Andrade,Mulher,0.0027,5
Valdenir Severino,Homem,0.0011,2
Dante A. C. Barone,Homem,0.0016,3
Guilherme W. P. dos Santos,Homem,0.0016,3
Ives C. Passos,Homem,0.0016,3
Leonardo F. B. S. Carvalho,Homem,0.0016,3
Darlan Eziquiel Felisberto da Silva,Homem,0.0011,2
Marco Antoni,Homem,0.0011,2
Davi Santos,Homem,0.0016,3
Jéssica Mendes,Mulher,0.0016,3
Rodrigo Santos,Homem,0.0016,3
Flávia Carvalho,Mulher,0.0016,3
Sebastião Santos,Homem,0.0016,3
David Menotti,Homem,0.0005,1
Rayson Laroca,Homem,0.0005,1
Davy M. S. Gomes,Homem,0.0027,5
Fernanda Castelo Branco Santana,Mulher,0.0027,5
Fernanda Silveira,Mulher,0.0027,5
Igo Amauri S. Luz,Homem,0.0027,5
Luciano T. Silva,Homem,0.0027,5
Rebeca dos Santos,Mulher,0.0027,5
Deivid Eive Silva,Homem,0.0011,2
Marialina Corrêa Sobrinho,Mulher,0.0011,2
Natasha Malveira C. Valentim,Mulher,0.0016,3
Delano Maia,Homem,0.0011,2
Wagner Braga Bezerra,Homem,0.0011,2
Denilson Souza Bélo,Homem,0.0011,2
Edson Midorikawa,Homem,0.0027,5
Liria Sato,Mulher,0.0011,2
Derian Sobral,Homem,0.0022,4
Eduardo Lima,Homem,0.0027,5
Felipe Araújo,Homem,0.0022,4
Fábio Araújo,Homem,0.0022,4
Geam Pfeiff,Homem,0.0022,4
Gilmar Moraes,Homem,0.0016,3
Helder Oliveira,Homem,0.0066,19
Nagib Matni,Homem,0.0027,5
Rafael Lopes,Homem,0.0016,3
Stefany Pinheiro,Mulher,0.0022,4
Derivaldo Machado da Silva,Homem,0.0005,1
Viviane Almeida dos Santos,Mulher,0.0005,1
Deógenes Silva Junior,Homem,0.0005,1
Roberto Pereira,Homem,0.0005,1
Diana Sasaki,Mulher,0.0005,1
Mauro N. Alves Junior,Homem,0.0005,1
Diego Carvalho,Homem,0.0016,3
Leonardo Rocha,Homem,0.0055,11
Nícollas Silva,Homem,0.0022,5
Tiago Trotta,Homem,0.0016,3
Diego P. Rubert,Homem,0.0011,2
Fábio H. V. Martinez,Homem,0.0011,2
Jens Stoye,Homem,0.0011,2
Dilma da Silva,Mulher,0.0016,3
Edison Ishikawa,Homem,0.0016,3
Marcelo Mandelli,Homem,0.0016,3
Dorgival da Silva Pereira Netto,Homem,0.0016,3
Francesco Pagani Galvão,Homem,0.0016,3
Luiz Felipe de Souza Jimenez,Homem,0.0016,3
Renan Augusto Monteiro Duarte,Homem,0.0016,3
Douglas Cordeiro,Homem,0.0022,4
Maicon Lima,Homem,0.0022,4
Melque Henrique Castro,Homem,0.0022,4
Thiago Leite,Homem,0.0022,4
Douglas Lima,Homem,0.0027,5
Igor Dantas,Homem,0.0027,5
Jose Neto,Homem,0.0027,5
Lourival Neto,Homem,0.0027,5
Thaíse Costa,Mulher,0.0049,9
Dyego Carlos Sales de Morais,Homem,0.0016,3
Flávia Mendes de Andrade e Peres,Mulher,0.0016,3
Patrícia Cabral de Azevedo Restelli Tedesco,Mulher,0.0016,3
Taciana Pontual Falcão,Mulher,0.0033,8
Débora Guerra de S. Guinati,Mulher,0.0011,2
Renata Luiza da Costa,Mulher,0.0011,2
Stéfany de Castro Souza,Mulher,0.0011,2
Débora Zumpichiatti,Mulher,0.0033,7
João Victor Moreira,Homem,0.0016,3
Yuri Guedes ,Homem,0.0022,4
Ecivaldo Matos,Homem,0.0022,4
Jean Rosa,Homem,0.0022,4
Luana Carneiro,Mulher,0.0022,4
Marlo Souza,Homem,0.0022,4
Murilo Souza,Homem,0.0022,4
Edleno Silva de Moura,Homem,0.0016,3
Gabriel Jordão,Homem,0.0016,3
Gustavo Barreto Maia,Homem,0.0016,3
Rafael Costa,Homem,0.0016,3
Edson M. da Costa,Homem,0.0022,4
Jailton W. Tavares,Homem,0.0022,4
Patrícia P. Diniz,Mulher,0.0022,4
Renato H. Torres,Homem,0.0022,4
Wallyson O. das Mecês,Homem,0.0022,4
Felipe V. de Almeida,Homem,0.0016,3
Liria M. Sato,Mulher,0.0016,3
Tatiana T. Torres,Mulher,0.0016,3
Edson Neto,Homem,0.0005,1
Julio Furtado,Homem,0.0005,1
Eduardo C. Almeida,Homem,0.0022,4
Erick Takeshi Moraes,Homem,0.0016,3
Larissa Mukuno,Mulher,0.0016,3
Paulo R. L. de Almeida,Homem,0.0005,1
Rafael Mansur Haddad,Homem,0.0016,3
Eduardo Cambruzzi,Homem,0.0005,1
Jessica de S. Santana,Mulher,0.0005,1
Eduardo Cunha de Almeida,Homem,0.0005,1
Eduardo Henrique Monteiro Pena,Homem,0.0005,1
Eduardo E. Mosca,Homem,0.0016,3
Francisco A. Rocha,Homem,0.0016,3
Gabriel G. Silva,Homem,0.0016,3
Rafael L. Gomes,Homem,0.0016,3
Eduardo F. Nakamura,Homem,0.0011,2
João Reis,Homem,0.0011,2
Eduardo Ferreira Baroni,Homem,0.0005,1
Gabriel Medina Braga,Homem,0.0005,1
Eduardo Figueiredo,Homem,0.0011,2
Maurício Souza,Homem,0.0011,2
Renata Moreira,Mulher,0.0011,2
Eduardo H. Teixeira,Homem,0.0016,3
Joel J. P. C. Rodrigues,Homem,0.0044,9
Samuel B. Mafra,Homem,0.0022,5
Werner A. A. N. da Silveira,Homem,0.0016,3
Eduardo Oliveira,Homem,0.0005,1
Eduardo P. M. Câmara Júnior,Homem,0.0011,2
Luiz F. M. Vieira,Homem,0.0011,2
Marcos A. M. Vieira,Homem,0.0011,2
Edvar Afonso L. Filho,Homem,0.0005,1
Miguel Elias M. Campista,Homem,0.0016,3
Elaine S. França,Mulher,0.0011,2
Oto B. Assunção,Homem,0.0011,2
Letícia Medeiros,Mulher,0.0038,7
Sunny Kelma Oliveira Miranda,Mulher,0.0038,7
Eliane Pozzebon,Mulher,0.0016,3
Francielli Freitas Moro,Mulher,0.0016,5
Rafaela Oliveira Padilha,Mulher,0.0016,5
Elis Hernandes,Mulher,0.0016,3
Leo Natan Paschoal,Homem,0.0016,3
Valdemar Neto,Homem,0.0011,2
Wallace Manzano,Homem,0.0011,2
Elisandra Silva,Mulher,0.0011,2
Thais Sousa,Mulher,0.0011,2
Elisângela Dias,Mulher,0.0005,1
Talita Ferreira,Mulher,0.0005,1
Elloá Guedes,Mulher,0.0022,4
Giovana Lucca,Mulher,0.0022,4
Juliany Raiol,Mulher,0.0022,4
Nicoli Araújo,Mulher,0.0022,4
Rafaela Sousa,Mulher,0.0022,4
Elmo de Faria,Homem,0.0027,5
Eunice Nunes,Mulher,0.0027,5
Fernando Magalhães,Homem,0.0027,5
Jonas Boechat,Homem,0.0027,5
Luciana Borges,Mulher,0.0027,5
Otávio Dantas,Homem,0.0027,5
Eloi Favero,Homem,0.0005,1
João Santos,Homem,0.0005,1
Elverton Fazzion,Homem,0.0011,2
Osvaldo Fonseca ,Homem,0.0011,2
Welton Augusto Rodrigues Santos,Homem,0.0011,2
Leonardo Moreira,Homem,0.0011,2
Maurício Neto,Homem,0.0011,2
Emanuel Felipe Duarte,Homem,0.0011,2
Josiane Rosa de Oliveira Gaia Pimenta,Mulher,0.0011,2
Maria Cecilia Calani Baranauskas,Mulher,0.0016,3
Emanuel Oliveira da Silva,Homem,0.0005,1
Emmerson S. Rita,Homem,0.0016,3
Jucimar B. Souza,Homem,0.0016,3
Marcelo C. Machado,Homem,0.0016,3
Pedro Pequeno,Homem,0.0016,3
Marcia Martins,Mulher,0.0011,2
Enio Pimenta,Homem,0.0016,3
Leonardo Medeiros,Homem,0.0016,3
Marcos Costa,Homem,0.0016,3
Taígo Pedrosa,Homem,0.0016,3
Erick Hostin,Homem,0.0027,5
Ivo Riegel,Homem,0.0027,5
Jefferson Chaves,Homem,0.0027,5
Jeliel Braz,Homem,0.0027,5
Marcio Piffer,Homem,0.0027,5
Yuri Salvador,Homem,0.0027,5
Erick T. A. Silva,Homem,0.0016,3
Melise M. V. Paula,Mulher,0.0016,3
Rafael M. D.,Homem,0.0016,3
Vanessa C. O. Souza,Mulher,0.0016,3
Erickson R. Nascimento,Homem,0.0022,4
João P. M. Ferreira,Homem,0.0011,2
Mario F. M. Campos,Homem,0.0011,2
Michel M. Silva,Homem,0.0011,2
Renato Martins,Homem,0.0011,2
Erlandson F. Saraiva,Homem,0.0011,2
Guilherme G. Souza,Homem,0.0011,2
Ricardo R. Santos,Homem,0.0011,2
Ermeson Andrade,Homem,0.0033,7
Ewerton Queiroz,Homem,0.0022,4
Gabriel Alves,Homem,0.0016,3
Gustavo Callou,Homem,0.0022,4
Júlio Mendonça,Homem,0.0033,7
Valdir Carvalho,Homem,0.0022,4
Wilson Medeiros,Homem,0.0016,3
Ernane Martins,Homem,0.0005,2
Luís Gouveia,Homem,0.0005,2
Franciny Barreto,Mulher,0.0011,2
Liliane S. S. Fonseca,Mulher,0.0011,2
Rafael Andrade,Homem,0.0011,2
Simone C. Santos,Mulher,0.0011,2
Esther Luna Colombini,Mulher,0.0005,1
Rafael Anicet Zanini,Homem,0.0005,1
Evilasio Costa Junior,Homem,0.0016,3
Ewerton Andrade,Homem,0.0005,1
Matheus Dias Vieira,Homem,0.0005,1
Fabiano L. de Sousa,Homem,0.0011,2
Leonardo B. da Luz,Homem,0.0011,2
Ronan A. J. Chagas,Homem,0.0011,2
Fabiano Oliveira,Homem,0.0033,8
Flavia Bonomo,Mulher,0.0016,3
Flavia Bonomo-Braberman,Mulher,0.0016,3
Jorge Goulart,Homem,0.0011,2
Moysés Sampaio Jr,Homem,0.0022,6
Fabiano de Souza Oliveira,Homem,0.0016,4
Jayme Luiz Szwarcfiter,Homem,0.0016,4
Lívia Salgado Medeiros,Mulher,0.0011,2
Vitor Tocci Ferreira de Luca,Homem,0.0011,2
Fabio Augusto Faria,Homem,0.0005,1
Matheus Macedo Leonardo,Homem,0.0005,1
Fabricio Mendoza-Granada,Homem,0.0005,1
Marcos Villagra,Homem,0.0005,1
Fabrizio Franzoia,Homem,0.0011,2
Leonardo Júnio A. dos Santos Figueiredo,Homem,0.0011,2
Thais R. M. Braga Silva,Mulher,0.0011,2
Fabrício Benevenuto,Homem,0.0005,1
Julio C. S. Reis,Homem,0.0005,1
Fabrício Pinto,Homem,0.0011,3
Paulo Silva,Homem,0.0011,3
Fabrício Silva,Homem,0.0022,4
Leonardo Santos,Homem,0.0022,4
Mateus Silva,Homem,0.0022,4
Raissa Souza,Mulher,0.0022,4
Thais Silva,Mulher,0.0022,4
Geisiane S. Matos,Mulher,0.0027,6
Geisiane de Souza Matos,Mulher,0.0022,4
Josivaldo S. Araújo,Homem,0.0022,4
Maria Roselene A. Lima,Mulher,0.0016,3
Rebeca Hilda Furtado Costa,Mulher,0.0011,2
Sandy Hiorrana L. Farias,Mulher,0.0022,4
Sara M. Silva,Mulher,0.0033,7
Sara das Mercês Silva,Mulher,0.0022,5
Tatiane A. Nascimento,Mulher,0.0016,3
Felipe A. L. Soares,Homem,0.0016,3
Henrique C. Freitas,Homem,0.0016,3
Humberto T. Marques-Neto,Homem,0.0016,3
Tiago B. Silveira,Homem,0.0016,3
Pedro Paulo Balbi,Homem,0.0005,1
Karolayne Teixeira,Mulher,0.0011,2
Luiz Alencar,Homem,0.0011,2
Fernanda S. H. de Souza,Mulher,0.0011,2
Geraldo R. Mateus,Homem,0.0011,2
Samuel M. A. Araújo,Homem,0.0011,2
Fernando A. Teixeira,Homem,0.0011,2
Marconi de Arruda Pereira,Homem,0.0011,2
Sérgio de Oliveira,Homem,0.0011,2
Gleison Souza Diniz Mendonça,Homem,0.0005,1
Fernando Matos,Homem,0.0005,1
Robertson Lima,Homem,0.0005,1
Heberth Reinstein,Homem,0.0011,2
Mateus Delatorre,Homem,0.0011,2
Filipe Arantes Fernandes,Homem,0.0016,3
Loham Santos da Silva,Homem,0.0016,3
Otacílio José Pereira,Homem,0.0016,3
Rossini Pena Abrantes,Homem,0.0016,3
Loham da Silva,Homem,0.0011,2
Otacílio Pereira,Homem,0.0011,2
Flavio Miyazawa,Homem,0.0016,3
Thiago de Queiroz,Homem,0.0016,3
Vinícius Lima,Homem,0.0016,3
Yulle Borges,Mulher,0.0016,3
Flávio Coutinho,Homem,0.0022,4
Glívia Barbosa,Mulher,0.0033,6
Ismael Silva,Homem,0.0022,4
Laura Ribeiro,Mulher,0.0022,4
Natália Santos,Mulher,0.0022,4
Matheus J. Ota,Homem,0.0011,2
Phablo F. S. Moura,Homem,0.0011,2
Flávio R. C. Souza,Homem,0.0011,2
Nídia G. S. Campos,Mulher,0.0011,2
Sayonara S. Araújo,Mulher,0.0011,2
Flávio Rocha,Homem,0.0022,4
Hudson Lopes,Homem,0.0011,2
Maykon Renan Pereira da Silva,Homem,0.0005,1
Ricardo Bruno de Oliveira,Homem,0.0011,2
Évelynn Rosa,Mulher,0.0005,1
Flávio de Almeida Andrade Lico,Homem,0.0011,2
Gilberto Pereira da Silva,Homem,0.0011,2
Marco Antonio Augusto de Andrade,Homem,0.0011,2
Igor Gonçalves,Homem,0.0022,4
Matheus Torquato,Homem,0.0016,3
Patrícia Endo,Mulher,0.0022,4
Paulo Henrique Rocha,Homem,0.0005,1
Francisco Nivando Bezerra,Homem,0.0011,2
Savio Lopes Rabelo,Homem,0.0011,2
Tamara Arruda Pereira,Mulher,0.0011,2
Francisco de Assis Boldt,Homem,0.0016,3
Jefferson Oliveira Andrade,Homem,0.0016,3
Karin Satie Komati,Mulher,0.0016,3
Leandro Rodrigues Ramos,Homem,0.0016,3
Lucas Colucci,Homem,0.0011,2
Luiz Hoffmann,Homem,0.0005,1
Fábio Luiz Usberti,Homem,0.0005,1
Matheus Diógenes Andrade,Homem,0.0005,1
Fábio Protti,Homem,0.0011,2
Lorrana F. de Castro,Mulher,0.0011,2
Rodolfo A. de Oliveira,Homem,0.0022,4
Fábio Rodrigues de la Rocha,Homem,0.0005,1
Michelle Wangham,Mulher,0.0005,1
Vania Marquiori,Mulher,0.0011,2
Gabriela Aguiar,Mulher,0.0005,1
Lailson Menezes,Homem,0.0005,1
Geber Lisboa Ramalho,Homem,0.0011,4
Rodrigo Pessoa Medeiros,Homem,0.0011,4
Geovane F. Piccinin,Homem,0.0005,1
Geovanna Evelyn Taype Espinoza,Mulher,0.0005,1
Gilberto Müller,Homem,0.0005,1
Michelle Martins,Mulher,0.0005,1
Gilvaneide Francisca Gomes,Mulher,0.0005,1
Ricardo André Cavalcante de Souza,Homem,0.0005,1
Giorgia O. Mattos,Mulher,0.0033,6
Josilene A. Moreira,Mulher,0.0033,6
Laura L. A. O. Campos,Mulher,0.0033,6
Luyza E. D. Nascimento,Mulher,0.0033,6
Maria L. M. Calixto,Mulher,0.0033,6
Tiago E. S. Araujo,Homem,0.0033,6
Vanessa G. L. Pessoa,Mulher,0.0033,6
Glauber Ferreira Cintra,Homem,0.0011,2
Luis Filipe de Lima Sales,Homem,0.0011,2
Raimundo Azevedo Neto,Homem,0.0011,2
Glácio S. Araújo,Homem,0.0022,4
Mário W. L. Moreira,Homem,0.0022,4
Rhayane S. Monteiro,Mulher,0.0022,4
Victor Hugo C. de Albuquerque,Homem,0.0022,4
Gláucia Braga e Silva,Mulher,0.0016,4
Maria Dalila Vieira,Mulher,0.0011,2
Maria Theresa Arruda Henriques,Mulher,0.0011,2
Thais Regina de M. B. Silva,Mulher,0.0016,4
Kecia Ferreira,Mulher,0.0011,2
Silvia Albuquerque,Mulher,0.0011,2
Greice P. Dal Molin,Mulher,0.0011,2
Nina N. Zahn,Mulher,0.0011,2
Guilherme G. Arcencio,Homem,0.0016,3
Matheus T. Mattioli,Homem,0.0016,3
Pedro H. D. B. Hokama,Homem,0.0016,3
Gulherme Andrade,Homem,0.0005,1
Gustavo Henrique da Silva Alexandre,Homem,0.0005,1
Jesiel Viana da Silva,Homem,0.0005,1
Gustavo M. D. Vieira,Homem,0.0005,1
William B. Mingardi,Homem,0.0005,1
Hanna Alves,Mulher,0.0011,2
Levi da Silva,Homem,0.0011,2
Helio Pedrini,Homem,0.0005,1
Marcos Roberto e Souza,Homem,0.0005,1
Heloneida Coelho,Mulher,0.0005,1
Olavo Brito Neto,Homem,0.0005,1
Mateus Eloi da Silva Bastos,Homem,0.0016,3
Vitor Yeso Fidelis Freitas,Homem,0.0016,3
Henrique Hepp,Homem,0.0011,2
Heremita Lima,Mulher,0.0022,4
Laís Lima,Mulher,0.0022,4
Márcio Júnior,Homem,0.0022,4
Nicoly Almeida,Mulher,0.0022,4
Petrus Bento,Homem,0.0022,4
Herik S. Lorenção,Homem,0.0005,1
Rafael V. M. Santos,Homem,0.0005,1
Herleson Paiva Pontes,Homem,0.0005,1
Juliana Pereira Cabral,Mulher,0.0005,1
Heyder Vágner Ramos,Homem,0.0016,3
Marize Lyra Silva Passos,Mulher,0.0016,3
Rodolfo dos Reis Fontes Novais,Homem,0.0016,3
Hiran Ferreira,Homem,0.0011,2
Tiago Cherchiglia,Homem,0.0011,2
Vinícius Alves Silva,Homem,0.0011,2
Hugo Kuribayashi,Homem,0.0027,9
Isaac Barros,Homem,0.0027,9
João Barbosa,Homem,0.0027,5
João Carmona,Homem,0.0027,9
Warley Junior,Homem,0.0027,9
Wendel Serra,Homem,0.0027,9
Hugo Rosado,Homem,0.0005,1
Marcelo Benedito,Homem,0.0005,1
Hugo Sadok,Homem,0.0011,2
Luis Henrique M. K. Costa,Homem,0.0011,2
Ialy C. Sousa,Mulher,0.0027,5
Iana Daya C. F. Passos,Mulher,0.0027,5
Jerry A. Souza,Homem,0.0027,5
Lílian H. Teixeira,Mulher,0.0027,5
Mary Karlla A. Guimarães,Mulher,0.0027,5
Moacy P. Silva,Homem,0.0027,5
Igor C. Sodré,Homem,0.0011,2
Pedro B. Pio,Homem,0.0011,2
Igor Moraes,Homem,0.0011,2
Júlio César Resende,Homem,0.0011,2
Igor Santos,Homem,0.0011,2
Luís Orleans,Homem,0.0011,2
Natália Silva,Mulher,0.0011,2
Ildenê F. S. Mota,Mulher,0.0011,2
Kamilla Taiwhscki B. Silva,Mulher,0.0011,2
Viviane A. Santos,Mulher,0.0011,2
Inácio G. Medeiros,Homem,0.0005,1
Soraya R. S. Medeiros,Mulher,0.0005,1
Isa Neves,Mulher,0.0005,1
Laila Pereira Mota,Mulher,0.0005,1
Suzany Angeli,Mulher,0.0011,2
Sílvia Amélia Bim,Mulher,0.0033,8
Ismael Araújo Ramos,Homem,0.0005,1
Márcio André Baima Amora,Homem,0.0005,1
Ivaldir de Farias Junior,Homem,0.0011,2
Jeferson Vieira,Homem,0.0011,2
Valéria Silva,Mulher,0.0011,2
Ivan Machado,Homem,0.0005,1
Joselito Mota Júnior,Homem,0.0005,1
Ivyna Rayany Santino Alves,Mulher,0.0016,3
Luciana Gomes,Mulher,0.0016,3
Marcella Medeiros Siqueira C. de Almeida,Mulher,0.0016,3
Jailma da silva,Mulher,0.0022,4
Renata Figueiredo,Mulher,0.0022,4
Sheyla Medeiros,Mulher,0.0022,4
Javier Guillot Jiménez,Homem,0.0011,2
Luiz André P. Paes Leme,Homem,0.0011,2
Marco A. Casanova,Homem,0.0011,2
Jonathan R. da Silva,Homem,0.0016,3
Karin S. Komati,Mulher,0.0016,3
Leandro C. Resendo,Homem,0.0016,3
Vitor A.C. Figueiredo,Homem,0.0011,2
Lilian Barros,Mulher,0.0011,2
Talita Slavov,Mulher,0.0011,2
Joilson Oliveira Telles,Homem,0.0022,4
Lara Mello do Nascimento,Mulher,0.0022,4
Leonardo Renner Koppe,Homem,0.0022,4
Naira Kaieski,Mulher,0.0022,4
William Augusto Pez,Homem,0.0022,4
Jonice Oliveira,Mulher,0.0005,1
Luiz Paulo Carvalho,Homem,0.0005,1
Rodrigo Bavaresco,Homem,0.0005,1
Josely Cubero,Mulher,0.0033,6
Julia Passos,Mulher,0.0033,6
Karina Huh,Mulher,0.0033,6
Lais Cavalheiro,Mulher,0.0033,6
Marcelo M. Eler,Homem,0.0033,6
Sarajane M. Peres,Mulher,0.0033,6
Yasmin Gonçalves,Mulher,0.0033,6
Josiane Porto,Mulher,0.0005,1
Tiago Lima,Homem,0.0005,1
Josinaldo Pontes,Homem,0.0011,2
José Adson Cunha,Homem,0.0011,2
Mirelly da Silva,Mulher,0.0011,2
Joslaine Cristina J. de Freitas,Mulher,0.0011,2
Marcos Wagner de Souza Ribeiro,Homem,0.0011,2
Tamara Cristina Ferreira,Mulher,0.0011,2
José Augusto Fabri,Homem,0.0011,2
Marco Aurélio Graciotto Silva,Homem,0.0011,2
Yuri Rafael Grajefe Feitosa,Homem,0.0011,2
José Cunha,Homem,0.0011,2
Wellington Lemos,Homem,0.0011,2
José Henrique R. Cruz,Homem,0.0005,1
Maurício Arimoto,Homem,0.0005,1
José Quaresma,Homem,0.0011,2
Marianne Eliasquevici,Mulher,0.0016,3
João Neto,Homem,0.0005,1
Robson Bonidia,Homem,0.0005,1
João Paulo de S. Rodrigues,Homem,0.0016,3
Kleverton Robson da Silva Cordovil,Homem,0.0016,3
Orlando Shigueo Ohashi Junior,Homem,0.0027,6
Renato Hidaka Torres,Homem,0.0027,6
João Ricardo dos S. Rosa,Homem,0.0005,1
João V. S. Leite,Homem,0.0011,2
Marcos Bedo,Homem,0.0011,2
Juan Colonna,Homem,0.0011,2
Marco Cristo,Homem,0.0011,2
Nabson Silva,Homem,0.0011,2
Juliana Freire,Mulher,0.0011,2
Laís M. A. Rocha,Mulher,0.0011,2
Juliana Freitag Borin,Mulher,0.0011,2
Leonardo Alves de Melo,Homem,0.0011,2
Luis Fernando Gomez Gonzalez,Homem,0.0011,2
Juliano F. Kazienko,Homem,0.0011,2
Silvio E. Quincozes,Homem,0.0011,2
Vagner E. Quincozes,Homem,0.0011,2
Jéssica Gabrieli Schmitz Hahn,Mulher,0.0022,4
Leandro von Borstel Assmann,Homem,0.0022,4
Renata Luiza Muller,Mulher,0.0022,4
Vanessa Petró,Mulher,0.0022,4
Vinicius Hartmann Ferreira,Homem,0.0022,4
Jônatas Wehrmann,Homem,0.0005,1
Rodrigo C. Barros,Homem,0.0005,1
Kadidja Valéria R. Oliveira,Mulher,0.0005,1
Kelly Gazolli,Mulher,0.0011,2
Rosana Jesus,Mulher,0.0011,2
Sérgio Nery Simões,Homem,0.0011,2
Wander Fernandes Junior,Homem,0.0011,2
Larissa F. S. Britto,Mulher,0.0011,4
Luciano D. S. Pacífico,Homem,0.0011,4
Teresa B. Ludermir,Mulher,0.0011,4
Larissa M. R. Alves,Mulher,0.0011,2
Samara Martins Nascimento,Mulher,0.0011,2
Veronica M. L. Silva,Mulher,0.0011,2
Larissa M. da F. Galeno,Mulher,0.0016,3
Maria Eduarda H. Lucena,Mulher,0.0016,3
Maria Luiza M. Campos,Mulher,0.0016,3
Tainá da S. Lima,Mulher,0.0016,3
Lia Martins,Mulher,0.0022,4
Raquel Folz,Mulher,0.0022,4
Victória Guimarães,Mulher,0.0022,4
Laura Shibukawa,Mulher,0.0005,1
Mayara Yamanoe,Mulher,0.0005,1
Laura Sánchez García,Mulher,0.0011,2
Ludmilla Fernandes Oliveira Galvão,Mulher,0.0011,2
Tanya Amara Felipe,Mulher,0.0011,2
Leandro de C. Santos,Homem,0.0011,2
Samira S. da Silva,Mulher,0.0011,2
Sincler P. de Meireles,Homem,0.0011,2
Lucas Couto,Homem,0.0011,2
Luiz Felipe Chaves,Homem,0.0011,2
Libério Silva,Homem,0.0005,1
Sanderson Gonzaga de Oliveira,Homem,0.0005,1
Ligia Cristina Battezzati,Mulher,0.0022,4
Mateus Santos,Homem,0.0022,4
Matheus Mattos de Almeida Cruz,Homem,0.0022,4
Rita C. G. Berardi,Mulher,0.0022,6
Lucas Moreira e Silva Alves,Homem,0.0022,4
Marcos Henrique Alves da Silva,Homem,0.0022,4
Rostand Edson Oliveira Costa,Homem,0.0022,4
Samuel de Moura Moreira,Homem,0.0022,4
Tiago Maritan Ugulino de Araújo,Homem,0.0022,4
Lucas Ribeiro,Homem,0.0005,1
Windson Viana,Homem,0.0005,1
Luciana S. Buriol,Mulher,0.0005,1
Toni I. Wickert,Homem,0.0005,1
Luiz C. V. dos Santos,Homem,0.0005,1
Marleson Graf,Homem,0.0005,1
Luiza S. Pontello,Mulher,0.0005,1
Mário W. Pereira,Homem,0.0005,1
Luís Barbosa,Homem,0.0005,1
Roberta Fagundes,Mulher,0.0005,1
Pedro Jorge de Abreu Figueredo,Homem,0.0005,1
Manoel Horta Ribeiro,Homem,0.0011,2
Virgílio A. F. Almeida,Homem,0.0011,2
Wagner Meira Jr,Homem,0.0011,2
Manuel Iori,Homem,0.0005,1
Vítor Gomes Chagas,Homem,0.0005,1
Marcos H. Backes,Homem,0.0005,1
Marcelo E. Vendramin,Homem,0.0005,1
Álvaro J. P. Franco,Homem,0.0005,1
Marcelo S. Loutfi,Homem,0.0011,2
Nathielly de S. Campos,Mulher,0.0011,2
Reinaldo V. Alvares,Homem,0.0011,2
Marcos Diniz,Homem,0.0005,1
Maria Andréia Formico Rodrigues,Mulher,0.0005,1
Ygor Rebouças Serpa,Homem,0.0005,1
Maria Dayane Almeida Araújo,Mulher,0.0005,1
Rhyan Ximenes de Brito,Homem,0.0005,1
Maria Luíza López Cruz,Mulher,0.0005,1
Raquel Souza Francisco Bravo,Mulher,0.0005,1
Maria do Socorro Vieira Barreto,Mulher,0.0011,2
Thales Francisco Mota Carvalho,Homem,0.0011,2
Vívian Ludimila Aguiar Santos,Mulher,0.0011,2
Marjory Abreu,Mulher,0.0005,1
Monica Pereira,Mulher,0.0005,1
Mateus Coelho Silva,Homem,0.0016,3
Ricardo Augusto Rabelo Oliveira,Homem,0.0016,3
Saul Delabrida,Homem,0.0016,3
Sérvio Pontes Ribeiro,Homem,0.0016,3
Matheus Guedes,Homem,0.0005,1
Matheus da Silva Serpa,Homem,0.0005,1
Philippe Olivier Alexandre Navaux,Homem,0.0005,1
Mauro F. Santos Junior,Homem,0.0005,1
Sergiana Alves da Silva,Mulher,0.0005,1
Max Filipe da Costa Braga,Homem,0.0016,3
Wilson Rogério Soares e Silva,Homem,0.0016,3
Vânia Silvares Marquiori,Mulher,0.0005,1
Márcio A. Miranda,Homem,0.0011,2
Simone S. Sidnei,Mulher,0.0011,2
Renan F. F. da Silva,Homem,0.0011,2
Yulle G. F. Borges,Mulher,0.0011,3
Renata Viegas de Figueiredo,Mulher,0.0005,1
Renato Eubank de Almeida,Homem,0.0005,1
Rodrigo Gabriel Galeano da Silva,Homem,0.0005,1
Renato F. Bulcão-Neto,Homem,0.0005,1
Vandenberg B. da Paixão,Homem,0.0005,1
