Autor,Gênero,Grau (Centralidade),Grau Ponderado (Força)
Aleteia P. F. Araujo,Mulher,0.0076,20
Alice Borges,Mulher,0.0027,5
Alice Lima,Mulher,0.0033,6
Ana Júlia L. Briceño,Mulher,0.0049,9
Ana Sofia S. Silvestre,Mulher,0.0049,9
Bianca P. Castro,Mulher,0.0049,9
Carla Cavalcante Koike,Mulher,0.0076,20
Carla D. Castanho,Mulher,0.0049,9
Fernanda de Sousa,Mulher,0.0027,5
Maria Eduarda Santos,Mulher,0.0033,6
Roberta B. Oliveira,Mulher,0.0076,20
Tais A. Oliveira,Mulher,0.0049,9
Thamires P. Silva,Mulher,0.0049,9
Vinicius R. P. Borges,Homem,0.0044,8
Aleteia Patricia Araujo,Mulher,0.0011,2
Thayanna Klysnney Moreira Nunes,Mulher,0.0011,2
Alex B. Vieira,Homem,0.0027,5
Artur Ziviani,Homem,0.0027,5
Breno Machado,Homem,0.0016,3
Edelberto Franco,Homem,0.0011,2
Frederico O. Sales,Homem,0.0011,2
Italo Cunha,Homem,0.0033,6
Alex Barradas Filho,Homem,0.0022,4
Allan K. Barros,Homem,0.0022,4
Davi Viana,Homem,0.0093,20
João B. Bottentuit Junior,Homem,0.0022,4
Alex Calado,Homem,0.0005,1
Ricardo de Souza,Homem,0.0005,1
Alex Gliesch,Homem,0.0005,1
Marcus Ritt,Homem,0.0005,1
Alex Vieira,Homem,0.0022,4
Francisco Airton Silva,Homem,0.0093,25
Glauber Dias Gonçalves,Homem,0.0022,4
Jussara Almeida,Mulher,0.0022,4
Samuel de Oliveira Ribeiro,Homem,0.0022,4
Alexander Decker de Souza,Homem,0.0011,2
Luiz Filipe Menezes Vieira,Homem,0.0011,2
Marcos Augusto Menezes Vieira,Homem,0.0011,2
Alexandra S. Pereira,Mulher,0.0022,4
Antonio A. F. Loureiro,Homem,0.0022,4
Fabrício A. Silva,Homem,0.0033,6
Luiz H. A. Correia,Homem,0.0022,4
Thais R. M. B. Silva,Mulher,0.0022,4
Alexandre Aragão,Homem,0.0038,7
Ariel Teles,Homem,0.0038,7
Arlindo da Conceição,Homem,0.0038,7
Francisco Silva,Homem,0.0038,7
Inaldo Costa,Homem,0.0038,7
Tercio Sousa,Homem,0.0038,7
Alexandre Cezar,Homem,0.0044,8
Ana Shirley Ferreira Silva,Mulher,0.0022,4
Ana Silva,Mulher,0.0038,7
Carlos V. G. C. Lima,Homem,0.0022,4
Carlos Vinícius Gomes Costa Lima,Homem,0.0022,4
Julio Araujo,Homem,0.0022,4
