Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Ana Solórzano,Mulher,Cassiano Schneider,Homem,1
Ana kely L. Ferreira,Mulher,Francisco Victor S. de Lima,Homem,1
Ana kely L. Ferreira,Mulher,Francisco Victor da S. Pinheiro,Homem,1
Ana kely L. Ferreira,Mulher,Ronier da S. Lima,Homem,1
Ana kely L. Ferreira,Mulher,Wladimir Araújo Tavares,Homem,1
Anderson C. Lima,Homem,João Vítor M. Santos,Homem,1
Anderson C. Lima,Homem,Pedro Enrique M. Santos,Homem,1
Anderson Corrêa de Lima,Homem,Luciana Montera Cheung,Mulher,1
Anderson Felinto Barbosa,Homem,Janderson Jason Barbosa Aguiar,Homem,1
Anderson S. de Oliveira,Homem,Carina Machado de Farias,Mulher,1
Anderson S. de Oliveira,Homem,Everton Dias de A. Silva,Homem,1
Anderson Viçoso de Araújo,Homem,Felício Gobbi Hoffmann Santos Pereira,Homem,1
Anderson Viçoso de Araújo,Homem,Graziela Santos de Araújo,Mulher,1
Anderson Viçoso de Araújo,Homem,Heitor Batistela Zunta,Homem,1
Anderson Viçoso de Araújo,Homem,Luciana Montera Cheung,Mulher,1
Andre Du Bois,Homem,Clause Piana,Mulher,2
Andre Du Bois,Homem,Johnny Marques,Homem,1
Andre Du Bois,Homem,Luciana Foss,Mulher,2
Andre Du Bois,Homem,Placida Oliveira,Mulher,1
Andre Du Bois,Homem,Renata Reiser,Mulher,2
Andre Du Bois,Homem,Simone Cavalheiro,Mulher,2
Andre Du Bois,Homem,Simão Martin,Homem,1
Andrea B. Nascimento,Mulher,Giorgia de O. Mattos,Mulher,1
Andrea B. Nascimento,Mulher,Josilene A. Moreira,Mulher,1
Andrea Charão,Mulher,Cassiano Schneider,Homem,2
Andrea Charão,Mulher,Fernando P. Barbosa,Homem,1
Andrea Charão,Mulher,Karina Wiechork,Mulher,1
Andrea Charão,Mulher,Leandro Schneider,Homem,1
Andrea Charão,Mulher,Lucas Silva,Homem,1
Andrea Charão,Mulher,Marlon L. S. Rodrigues,Homem,1
Andrea Charão,Mulher,Rafael G. Trindade,Homem,1
Andreia de Jesus,Mulher,Gabriel Vaz Igarashi,Homem,1
Andreia de Jesus,Mulher,Vinicius Struginski Pereira,Homem,1
André Barreto,Homem,Arthur Passos,Homem,1
André Barreto,Homem,Brenno Nascimento,Homem,1
André Barreto,Homem,Davi Viana,Homem,1
André Barreto,Homem,Felipe Silva,Homem,1
André Barreto,Homem,Gabriel Costa,Homem,1
André Barreto,Homem,Luis Rivero,Homem,1
André Chateaubriand,Homem,Obede Carvalho,Homem,1
André Chateaubriand,Homem,Ricardo Terra,Homem,1
André F. R. Cordeiro,Homem,Edson OliveiraJr,Homem,1
André F. R. Cordeiro,Homem,João Choma Neto,Homem,1
André F. R. Cordeiro,Homem,Simone R. S. Souza,Mulher,1
André F. R. Cordeiro,Homem,Thelma E. Colanzi,Mulher,1
André G. Pereira,Mulher,Eduardo Souto,Homem,1
André G. Pereira,Mulher,Leandro Carvalho,Homem,1
André Lemos,Homem,Haroldo Amaral,Homem,1
André Lemos,Homem,Lilian Pereira Teixeira,Mulher,1
André Lemos,Homem,Marcia Kniphoff da Cruz,Mulher,1
André Lemos,Homem,Rozelma França,Mulher,1
André Lemos,Homem,Wilk Oliveira,Homem,1
André Luís Alice Raabe,Homem,Eduardo A. da Silva,Homem,1
André Luís Alice Raabe,Homem,Elieser Ademir de Jesus,Homem,1
André Luís Alice Raabe,Homem,Natália Ellery Ribeiro Couto,Mulher,1
André R. Ortoncelli,Homem,Jeferson V. L. Albino,Homem,1
André R. Ortoncelli,Homem,Newton C. Will,Homem,1
André R. Ortoncelli,Homem,Rafael A. P. de Oliveira,Homem,1
André Raabe,Homem,Luiz Noschang,Homem,1
André Silva,Homem,José Silva,Homem,1
André Silva,Homem,Letícia Oliveira,Mulher,1
Andréa Pereira Mendonça,Mulher,Silmar Antonio Buchner de Oliveira,Homem,1
Anna Raquel S. Marinho,Mulher,Ecivaldo Matos,Homem,1
Anna Raquel S. Marinho,Mulher,Givanaldo R. de Souza,Homem,1
Anna Raquel S. Marinho,Mulher,Jean C. S. Rosa,Homem,1
Anselmo L. Gomes,Homem,José Andersson S. da Silva,Homem,1
Anselmo L. Gomes,Homem,Sônia R. Fortes da Silva,Mulher,1
Anselmo Paiva,Homem,Daniel Pinto,Homem,1
Anselmo Paiva,Homem,Eduarda Chagas,Mulher,1
Anselmo Paiva,Homem,Gabriel Costa,Homem,1
Anselmo Paiva,Homem,Kennedy Nunes,Homem,1
Anselmo Paiva,Homem,Luis Rivero,Homem,1
Anselmo Paiva,Homem,Ricardo Anchieta,Homem,1
Anselmo Paiva,Homem,Simara Rocha,Mulher,1
Antonio Carlos Raposo,Homem,Carlos de Salles Soares Neto,Homem,1
Antonio Carlos Raposo,Homem,Dilson José Lins Rabêlo Júnior,Homem,1
Antonio Carlos Raposo,Homem,Luis Alves dos Santos Neto,Homem,1
Antonio Carlos de Francisco,Homem,João Henrique Berssanette,Homem,1
Antonio J. R. Castro,Homem,Camila D. Guerra,Mulher,1
Antonio J. R. Castro,Homem,Jonas B. C. Máximo,Homem,1
Antonio J. R. Castro,Homem,Marcelo M. Silva,Homem,1
Antonio J. R. Castro,Homem,Maria Simone Nunes,Mulher,1
Antonio J. R. Castro,Homem,Marianna Severo,Mulher,1
Antonio J. R. Castro,Homem,Paulo A. C. Aguilar,Homem,1
Antonio J. R. Castro,Homem,Valdemir de Queiroz Neto,Homem,1
Antônio Cezar de Castro Lima,Homem,João Vitor Ferraz,Homem,1
Antônio Cezar de Castro Lima,Homem,Matheus Lima Viana,Homem,1
Antônio Cezar de Castro Lima,Homem,Maísa Soares dos Santos Lopes,Mulher,1
Antônio Cezar de Castro Lima,Homem,Rodrigo Silva Lima,Homem,1
Antônio Cezar de Castro Lima,Homem,Roque Mendes Prado Trindade,Homem,1
Antônio Pinto,Homem,Ednara Pereira,Mulher,1
Antônio Pinto,Homem,Fernando Leite,Homem,1
Antônio Pinto,Homem,Gabriel Cardoso,Homem,1
Antônio Pinto,Homem,Geraldo Braz Junior,Homem,1
Antônio Pinto,Homem,Igor Estrela,Homem,1
Antônio Pinto,Homem,Luis Rivero,Homem,1
Arianne Sarmento Torcate,Mulher,Cleiton Soares Martins,Homem,1
Arianne Sarmento Torcate,Mulher,Marcos Uryel F. de Farias,Homem,1
Arianne Sarmento Torcate,Mulher,Sônia R. Fortes da Silva,Mulher,1
Arthur Passos,Homem,Brenno Nascimento,Homem,1
Arthur Passos,Homem,Davi Viana,Homem,1
Arthur Passos,Homem,Felipe Silva,Homem,1
Arthur Passos,Homem,Gabriel Costa,Homem,1
Arthur Passos,Homem,Luis Rivero,Homem,1
Augusto Vellozo,Homem,Edson Borin,Homem,1
Augusto Vellozo,Homem,Juliana F. Borin,Mulher,1
Augusto Vellozo,Homem,Láıs V. Minchillo,Mulher,1
Ayala L. Ribeiro,Mulher,Bianca L. Santana,Mulher,1
Ayala L. Ribeiro,Mulher,Roberto A. Bittencourt,Homem,1
Ayla Dantas,Mulher,Ivonildo Neto,Homem,1
Ayla Dantas,Mulher,Matheus Oliveira,Homem,1
Ayla Rebouças,Mulher,Géssica Alves,Mulher,1
Ayslan Trevizan Possebom,Homem,Carlos R. Beleti Junior,Homem,1
Ayslan Trevizan Possebom,Homem,César Alberto da Silva,Homem,1
Ayslan Trevizan Possebom,Homem,Daniela Eloise Flôr,Mulher,1
Ayslan Trevizan Possebom,Homem,Eduardo Henrique Molina da Cruz,Homem,1
Ayslan Trevizan Possebom,Homem,Paulo César Gonçalves,Homem,1
Ayslan Trevizan Possebom,Homem,Rodrigo Hübner,Homem,1
Benediel Gonçalves,Homem,Carlos Portela,Homem,1
Benediel Gonçalves,Homem,Elison Nascimento,Homem,1
Benediel Gonçalves,Homem,Enio Monteiro,Homem,1
Benediel Gonçalves,Homem,Sandra Oliveira,Homem,1
Benilda Silva,Mulher,Carlos Portela,Homem,1
Benilda Silva,Mulher,Fabricio Farias,Homem,1
Benilda Silva,Mulher,Leonardo Gonçalves,Homem,1
Benilda Silva,Mulher,Rafael Santos,Homem,1
Bianca L. Santana,Mulher,Camille Jesus,Mulher,1
Bianca L. Santana,Mulher,Luis Araújo,Homem,1
Bianca L. Santana,Mulher,Roberto A. Bittencourt,Homem,3
Bianca P. Castro,Mulher,Lucas G. Lattari,Homem,1
Bianca P. Castro,Mulher,Marcela Z. de Moura,Mulher,1
Bianca P. Castro,Mulher,Sérgio M. B. Lima,Homem,1
Bosco Borges A. F.,Homem,Maria de Fátima P. Ferreira,Mulher,1
Bosco Borges A. F.,Homem,Rossana M. C. Andrade,Mulher,1
Bosco Borges A. F.,Homem,Rubens Anderson de S. Silva,Homem,1
Braz Araujo da Silva Junior,Homem,Júlia Veiga da Silva,Mulher,1
Braz Araujo da Silva Junior,Homem,Luciana Foss,Mulher,2
Braz Araujo da Silva Junior,Homem,Simone André da Costa Cavalheiro,Mulher,2
Brenno Nascimento,Homem,Davi Viana,Homem,1
Brenno Nascimento,Homem,Felipe Silva,Homem,2
Brenno Nascimento,Homem,Gabriel Costa,Homem,1
Brenno Nascimento,Homem,Geraldo Braz Junior,Homem,1
Brenno Nascimento,Homem,Italo Dovera,Homem,1
Brenno Nascimento,Homem,Luis Rivero,Homem,2
Brenno Nascimento,Homem,Matheus Bessa,Homem,1
Brenno Nascimento,Homem,Rafael Gomes,Mulher,1
Breno M. Barra,Homem,Caio C. Dias,Homem,1
Breno M. Barra,Homem,Matheus E. Franco,Homem,1
Breno M. Barra,Homem,Rosana A. Moreira,Mulher,1
Breno Sousa,Homem,Fábio Bezerra,Homem,1
Breno Sousa,Homem,Paulo Cerqueira,Homem,1
Breno Sousa,Homem,Rafael Santos,Homem,1
Bruno B. Boniati,Homem,Christiane G. von Wangenheim,Mulher,1
Bruno B. Boniati,Homem,Giani Petri,Mulher,1
Bruno Merlin,Homem,Heleno Fülber,Homem,1
Bruno Merlin,Homem,João Ferreira,Homem,1
Bruno Merlin,Homem,Leonardo Zamprogno,Homem,1
Bruno Santos,Homem,Franciely Souza,Mulher,1
Bruno Santos,Homem,Hugo Santos,Homem,1
Bruno Santos,Homem,Irandir Amorim,Homem,1
Bruno Santos,Homem,Maria Silva,Mulher,1
Bárbara A. Ramos,Mulher,Elaine Rangel Seixas,Mulher,1
Bárbara A. Ramos,Mulher,Flávio Luiz Seixas,Homem,1
Caio C. Dias,Homem,Matheus E. Franco,Homem,1
Caio C. Dias,Homem,Rosana A. Moreira,Mulher,1
Caique Souza,Homem,Esdras Bispo Jr.,Homem,1
Caique Souza,Homem,Lucas Costa,Homem,1
Camila D. Guerra,Mulher,Jonas B. C. Máximo,Homem,1
Camila D. Guerra,Mulher,Marcelo M. Silva,Homem,1
Camila D. Guerra,Mulher,Maria Simone Nunes,Mulher,1
Camila D. Guerra,Mulher,Marianna Severo,Mulher,1
