Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Fabiano de Souza Oliveira,Homem,Vitor Tocci Ferreira de Luca,Homem,1
Fabricio Mendoza-Granada,Homem,Marcos Villagra,Homem,1
Felipe Abrahão,Homem,Klaus Wehmuth,Homem,3
Fernanda Couto,Mulher,Ighor Bruno de Brito,Homem,1
Fernanda Couto,Mulher,Willian de Assis Sento Sé,Homem,1
Flavia Bonomo,Mulher,Jayme L. Szwarcfiter,Homem,1
Flavia Bonomo,Mulher,Moysés S. Sampaio Jr.,Homem,1
Flavia Bonomo-Braberman,Mulher,Jayme L. Szwarcfiter,Homem,1
Flavia Bonomo-Braberman,Mulher,Moysés S. Sampaio Jr.,Homem,1
Flavio Miyazawa,Homem,Thiago A. de Queiroz,Homem,1
Flavio Miyazawa,Homem,Vinícius Lima,Homem,1
Flavio Miyazawa,Homem,Yulle Borges,Mulher,1
Flávio K. Miyazawa,Homem,Francisco A. Silva,Homem,1
Flávio K. Miyazawa,Homem,Pedro Amorim,Homem,1
Flávio K. Miyazawa,Homem,Rafael C. S. Schoeury,Homem,1
Francisco A. Silva,Homem,Rafael C. S. Schoeury,Homem,1
Franklin de L. Marquezino,Homem,Luis A. B. Kowada,Homem,1
Franklin de L. Marquezino,Homem,Renato Portugal,Homem,1
Fábio Botler,Homem,Guilherme Mota,Homem,1
Fábio Botler,Homem,João Pedro de Souza,Homem,1
Fábio Botler,Homem,Juan Gutiérrez,Homem,1
Fábio Botler,Homem,Lucas Colucci,Homem,2
Fábio Botler,Homem,Luiz Hoffmann,Homem,1
Fábio Botler,Homem,Matheus Secco,Homem,1
Fábio Botler,Homem,Paulo Matias,Homem,1
Fábio Botler,Homem,Phablo Moura,Homem,1
Fábio Botler,Homem,Roberto Parente,Homem,1
Fábio Botler,Homem,Tássio Naia,Homem,1
Fábio Botler,Homem,Wanderson Lomenha,Homem,1
Fábio Botler,Homem,Yoshiharu Kohayakawa,Homem,1
Fábio C. S. D.,Homem,Paulo Henrique M. A.,Homem,1
Fábio C. S. D.,Homem,Wallesson C. S.,Homem,1
Fábio H. V. Martinez,Homem,Helmuth O. M. Silva,Homem,1
Fábio Luiz Usberti,Homem,Matheus Diógenes Andrade,Homem,1
Fábio Luiz Usberti,Homem,Mário César San Felice,Homem,1
Fábio Protti,Homem,João Guilherme Martinez,Homem,1
Fábio Protti,Homem,Lorrana F. de Castro,Mulher,1
Fábio Protti,Homem,Rodolfo A. de Oliveira,Homem,1
Fábio Protti,Homem,Rodrigo Lamblet Mafort,Homem,1
Fábio Protti,Homem,Rosiane Freitas,Mulher,1
Fábio Silva,Homem,Raquel Bravo,Mulher,1
Fábio Silva,Homem,Rodolfo Oliveira,Homem,1
Fábio Silva,Homem,Ueverton Souza,Homem,1
Gabriel A. G. Sobral,Homem,Yoshiko Wakabayashi,Mulher,1
Gabriel Hellen de Sousa,Homem,José Robertty de Freitas Costa,Homem,1
Gabriel Hellen de Sousa,Homem,Manoel Campêlo,Homem,1
Glauber Ferreira Cintra,Homem,Luis Filipe de Lima Sales,Homem,1
Glauber Ferreira Cintra,Homem,Raimundo Azevedo Neto,Homem,1
Guilherme G. Arcencio,Homem,Matheus T. Mattioli,Homem,1
Guilherme G. Arcencio,Homem,Mário César San Felice,Homem,1
Guilherme G. Arcencio,Homem,Pedro H. D. B. Hokama,Homem,1
Guilherme Londe,Homem,Jorge dos Santos,Homem,1
Guilherme Londe,Homem,Welverton da Silva,Homem,1
Guilherme Mota,Homem,Hugo M. Vicente,Homem,1
Guilherme Mota,Homem,Lucas Colucci,Homem,1
Guilherme Mota,Homem,Matheus Secco,Homem,1
Guilherme Mota,Homem,Maurício Collares,Homem,1
Guilherme Mota,Homem,Paulo Matias,Homem,1
Guilherme Mota,Homem,Roberto Parente,Homem,1
Guilherme de C. M. Gomes,Homem,Jayme L. Szwarcfiter,Homem,2
Guilherme de C. M. Gomes,Homem,Paulo E. D. Pinto,Homem,2
Guilherme de C. M. Gomes,Homem,Vinicius F. Santos,Homem,2
Henrique Hepp,Homem,Leandro M. Zatesko,Homem,1
Henrique Hepp,Homem,Murilo V. G. da Silva,Homem,1
Hugo M. Vicente,Homem,Maurício Collares,Homem,1
Hugo Rosado,Homem,Marcelo Benedito,Homem,1
Ighor Bruno de Brito,Homem,Willian de Assis Sento Sé,Homem,1
Ingrid Borchert,Mulher,Mauro Nigro,Homem,1
Ingrid Borchert,Mulher,Sérgio Fusquino,Homem,1
Javier Marenco,Homem,Nelson Maculan,Homem,1
Javier Marenco,Homem,Rosiane Freitas,Mulher,1
Jayme L. Szwarcfiter,Homem,José Wilson C. Pinto,Homem,1
Jayme L. Szwarcfiter,Homem,Lívia S. Medeiros,Mulher,1
Jayme L. Szwarcfiter,Homem,Lívia Salgado Medeiros,Mulher,1
Jayme L. Szwarcfiter,Homem,María Pía Mazzoleni,Mulher,1
Jayme L. Szwarcfiter,Homem,Moysés S. Sampaio Jr.,Homem,3
Jayme L. Szwarcfiter,Homem,Paulo E. D. Pinto,Homem,3
Jayme L. Szwarcfiter,Homem,Paulo Pinto,Homem,1
Jayme L. Szwarcfiter,Homem,Tanilson D. Santos,Homem,1
Jayme L. Szwarcfiter,Homem,Ueverton Souza,Homem,1
Jayme L. Szwarcfiter,Homem,Vinicius F. Santos,Homem,2
Jayme L. Szwarcfiter,Homem,Vitor T. F. de Luca,Homem,1
Jayme L. Szwarcfiter,Homem,Vitor Tocci Ferreira de Luca,Homem,1
Jonas Costa,Homem,Nicolas Nisse,Homem,1
Jonas Costa,Homem,Raul Lopes,Homem,2
Jorge dos Santos,Homem,Welverton da Silva,Homem,1
José Robertty de Freitas Costa,Homem,Manoel Campêlo,Homem,1
João Fernando Machry Sarubbi,Homem,Marcelo Fonseca Faraj,Homem,1
João Fernando Machry Sarubbi,Homem,Sebastián Urrutia,Homem,1
