Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Gabriel C. Carrara,Homem,Thiago R. Almeida,Homem,1
Gabriel Souza,Homem,Gustavo Moreira,Homem,1
Gabriel Souza,Homem,Lúcio Zebendo,Homem,1
Gabriel Souza,Homem,Rafael Escalfoni,Homem,1
Gabriel Souza,Homem,Vinícius Vieira,Homem,1
Gabryella Rocha Rodrigues,Mulher,Leonardo da Silva Moraes,Homem,1
Gabryella Rocha Rodrigues,Mulher,Rita Rocha Kasahara,Mulher,1
Gian Flores,Homem,Jaline Mombach,Mulher,1
Gian Flores,Homem,Rudieri Bauer,Homem,1
Gian Flores,Homem,Ângelo Crestani,Homem,1
Giana Ferreira,Homem,Tiago Cherchiglia,Homem,1
Giana Ferreira,Homem,Vinícius Alves Silva,Homem,1
Giovana Santos,Mulher,Ricardo R. Santos,Homem,1
Glederson Santos,Homem,Pedro Mietliki,Homem,1
Gustavo José da Silva,Homem,Ramon Gustavo Teodoro Marques da Silva,Homem,1
Gustavo José da Silva,Homem,Ricardo Vasconcellos de Carvalho Remédio,Homem,1
Gustavo Moreira,Homem,Lúcio Zebendo,Homem,1
Gustavo Moreira,Homem,Rafael Escalfoni,Homem,1
Gustavo Moreira,Homem,Vinícius Vieira,Homem,1
Gustavo Ribeiro,Homem,Juan Barros,Homem,1
Gustavo Ribeiro,Homem,Marcelo de Almeida,Homem,1
Gustavo Ribeiro,Homem,Myllena da Silva,Mulher,1
Gustavo Ribeiro,Homem,Paula de Freitas,Mulher,1
Gustavo Ribeiro,Homem,Rerisson Matos,Homem,1
Gustavo Y. S. Azevedo,Homem,Lillia S. B. Silva,Mulher,1
Gustavo Y. S. Azevedo,Homem,Matheus S. Garofolo,Homem,1
Helder Rangel,Homem,Heremita Lima,Mulher,1
Helder Rangel,Homem,Nadja Rodrigues,Mulher,1
Helder Rangel,Homem,Samyra Almeida,Mulher,1
Helder Rangel,Homem,Tiago Barbosa,Homem,1
Heloneida Coelho,Mulher,Olavo Brito Neto,Homem,1
Henrique Nunes,Homem,Israel Junior,Homem,1
Henrique Nunes,Homem,Luciano Cabral,Homem,1
Henrique Nunes,Homem,Manoel Neto,Homem,1
Henrique Nunes,Homem,Marlysson Oliveira,Homem,1
Heremita Lima,Mulher,Laís Lima,Mulher,1
Heremita Lima,Mulher,Márcio Júnior,Homem,1
Heremita Lima,Mulher,Nadja Rodrigues,Mulher,1
Heremita Lima,Mulher,Nicoly Almeida,Mulher,1
Heremita Lima,Mulher,Petrus Bento,Homem,1
Heremita Lima,Mulher,Samyra Almeida,Mulher,1
Heremita Lima,Mulher,Tiago Barbosa,Homem,1
Herik S. Lorenção,Homem,Rafael V. M. Santos,Homem,1
Heyder Vágner Ramos,Homem,Marize Lyra Silva Passos,Mulher,1
Heyder Vágner Ramos,Homem,Márcia Oliveira,Mulher,1
Heyder Vágner Ramos,Homem,Rodolfo dos Reis Fontes Novais,Homem,1
Irlon Lamblet,Homem,Luis Silva,Homem,1
Irlon Lamblet,Homem,Rafael Escalfoni,Homem,1
Irlon Lamblet,Homem,Rafael Ferreira,Homem,1
Isabele B. Prates,Mulher,João Gabriel R. Silva,Homem,1
Isabele B. Prates,Mulher,Letícia C. T. Nascimento,Mulher,1
Isabele B. Prates,Mulher,Pedro H. O. Souza,Homem,1
Isabele B. Prates,Mulher,Renato C. Cani,Homem,1
Isabele B. Prates,Mulher,Thiago R. Almeida,Homem,1
Israel Junior,Homem,Luciano Cabral,Homem,1
Israel Junior,Homem,Manoel Neto,Homem,1
Israel Junior,Homem,Marlysson Oliveira,Homem,1
Ivo Riegel,Homem,Jefferson Chaves,Homem,1
Ivo Riegel,Homem,Jeliel Braz,Homem,1
Ivo Riegel,Homem,Marcio Piffer,Homem,1
Ivo Riegel,Homem,Yuri Salvador,Homem,1
Jadir Arnaldo Júnior,Homem,Leila Buarque,Mulher,1
Jadir Arnaldo Júnior,Homem,Marcelo Cunha,Homem,1
Jailton W. Tavares,Homem,Patrícia P. Diniz,Mulher,1
Jailton W. Tavares,Homem,Renato H. Torres,Homem,1
Jailton W. Tavares,Homem,Wallyson O. das Mecês,Homem,1
Jaline Mombach,Mulher,Rudieri Bauer,Homem,1
Jaline Mombach,Mulher,Ângelo Crestani,Homem,1
Jefferson Andrade,Homem,Jonathan R. da Silva,Homem,1
Jefferson Andrade,Homem,Karin Komati,Mulher,1
Jefferson Andrade,Homem,Leandro C. Resendo,Homem,1
Jefferson Chaves,Homem,Jeliel Braz,Homem,1
Jefferson Chaves,Homem,Marcio Piffer,Homem,1
Jefferson Chaves,Homem,Yuri Salvador,Homem,1
Jefferson de Oliveira Chaves,Homem,Leandro Marcos Salgado Alves,Homem,1
Jefferson de Oliveira Chaves,Homem,Michel Luís Rohr,Homem,1
Jeliel Braz,Homem,Marcio Piffer,Homem,1
Jeliel Braz,Homem,Yuri Salvador,Homem,1
Jessica Viana,Mulher,Melissa Zanatta,Mulher,1
Joilson Oliveira Telles,Homem,Lara Mello do Nascimento,Mulher,1
Joilson Oliveira Telles,Homem,Leonardo Renner Koppe,Homem,1
Joilson Oliveira Telles,Homem,Naira Kaieski,Mulher,1
Joilson Oliveira Telles,Homem,William Augusto Pez,Homem,1
Jonathan R. da Silva,Homem,Karin Komati,Mulher,1
Jonathan R. da Silva,Homem,Leandro C. Resendo,Homem,1
João Gabriel R. Silva,Homem,Letícia C. T. Nascimento,Mulher,1
João Gabriel R. Silva,Homem,Maria Júlia M. Schettini,Mulher,1
João Gabriel R. Silva,Homem,Pedro H. O. Souza,Homem,1
João Gabriel R. Silva,Homem,Renato C. Cani,Homem,1
João Gabriel R. Silva,Homem,Samuel O. Silva,Homem,1
João Gabriel R. Silva,Homem,Thiago R. Almeida,Homem,1
Juan Barros,Homem,Marcelo de Almeida,Homem,1
Juan Barros,Homem,Myllena da Silva,Mulher,1
Juan Barros,Homem,Paula de Freitas,Mulher,1
Juan Barros,Homem,Rerisson Matos,Homem,1
Jucimar B. Souza,Homem,Leonardo Vieira,Homem,1
Jucimar B. Souza,Homem,Marcelo C. Machado,Homem,1
Jucimar B. Souza,Homem,Pedro Pequeno,Homem,1
Kadidja Valéria R. Oliveira,Mulher,Sylvana Karla S. L. Santos,Mulher,1
Kaio da Silva,Homem,Lucas Mudo de Araújo,Homem,1
Kaio da Silva,Homem,Luis Sampaio,Homem,1
Kaio da Silva,Homem,Marcel Rios,Homem,1
Kaio da Silva,Homem,Silvio de Freitas,Homem,1
Karin Komati,Mulher,Kelly Gazolli,Mulher,1
Karin Komati,Mulher,Leandro C. Resendo,Homem,1
Karin Komati,Mulher,Rosana Jesus,Mulher,1
Karin Komati,Mulher,Sérgio Nery Simões,Homem,1
Karin Komati,Mulher,Wander Fernandes Junior,Homem,1
Kelly Gazolli,Mulher,Wander Fernandes Junior,Homem,1
Kelren da Silva Rodrigues,Mulher,Nirlene P. da Costa,Mulher,1
Kemely Kedny Pezzini,Mulher,Letícia Hümmelgen,Mulher,1
Kemely Kedny Pezzini,Mulher,Nágila Cristina Hinckel,Mulher,1
Kemely Kedny Pezzini,Mulher,Thainá Schroeder Ribeiro,Mulher,1
Lara Mello do Nascimento,Mulher,Leonardo Renner Koppe,Homem,1
Lara Mello do Nascimento,Mulher,Naira Kaieski,Mulher,1
Lara Mello do Nascimento,Mulher,William Augusto Pez,Homem,1
Larissa Sorato Magnus,Mulher,Luhan da Silva Nunes,Homem,1
Larissa Sorato Magnus,Mulher,Lívia Silva Marques,Mulher,1
Larissa Sorato Magnus,Mulher,Matheus Lorenzato Braga,Homem,1
Larissa Sorato Magnus,Mulher,Matheus da Silva Coelho,Homem,1
Larissa Sorato Magnus,Mulher,Victor Martins de Sousa,Homem,1
Laís Lima,Mulher,Márcio Júnior,Homem,1
Laís Lima,Mulher,Nicoly Almeida,Mulher,1
Laís Lima,Mulher,Petrus Bento,Homem,1
Leandro Marcos Salgado Alves,Homem,Michel Luís Rohr,Homem,1
Leila Buarque,Mulher,Marcelo Cunha,Homem,1
Leonardo Medeiros,Homem,Marcos Costa,Homem,1
Leonardo Medeiros,Homem,Taígo Pedrosa,Homem,1
Leonardo Renner Koppe,Homem,Naira Kaieski,Mulher,1
Leonardo Renner Koppe,Homem,William Augusto Pez,Homem,1
Leonardo da Silva Moraes,Homem,Rita Rocha Kasahara,Mulher,1
Letícia C. T. Nascimento,Mulher,Pedro H. O. Souza,Homem,1
Letícia C. T. Nascimento,Mulher,Renato C. Cani,Homem,1
Letícia C. T. Nascimento,Mulher,Thiago R. Almeida,Homem,1
Letícia Hümmelgen,Mulher,Nágila Cristina Hinckel,Mulher,1
Letícia Hümmelgen,Mulher,Thainá Schroeder Ribeiro,Mulher,1
Lilian Stavizki,Mulher,Marcelo Augusto Rauh Schimitt,Homem,1
