Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Caio C. Viel,Homem,Maria da Graça C. Pimentel,Mulher,1
Carla Marina C. Paxiúba,Mulher,Celson Pantoja Lima,Homem,1
Carla Sanches Nere dos Santos,Mulher,Igor Muzetti Pereira,Homem,1
Carla Sanches Nere dos Santos,Mulher,Vicente José Peixoto de Amorim,Homem,1
Carla Verônica Marques,Mulher,Carlo Oliveira,Homem,1
Carla Verônica Marques,Mulher,Claudia Motta,Mulher,1
Carlo Oliveira,Homem,Claudia Motta,Mulher,1
Carlos A. L. Mion,Homem,Igor M. Pereira,Homem,1
Carlos A. L. Mion,Homem,Ricardo A. R. Oliveira,Homem,1
Carlos A. L. Mion,Homem,Ricardo C. Camara,Homem,1
Carlos A. L. Mion,Homem,Vicente J. P. Amorim,Homem,1
Carlos Kamienski,Homem,Juliano Ratusznei,Homem,1
Carlos Kamienski,Homem,Waleska Zanotto,Mulher,1
Carolina Paula de Almeida,Mulher,Josiel N. Kuk,Homem,1
Carolina Paula de Almeida,Mulher,Lucas M. Pavelski,Homem,1
Carolina Paula de Almeida,Mulher,Richard Aderbal Gonçalves,Homem,1
Carolina Paula de Almeida,Mulher,Sandra Mara G. S. Venske,Mulher,1
Carolinne Roque e Faria,Mulher,Maurilio Martins Campano Júnior,Homem,1
Celciane Alves Vasconcelos,Mulher,Edio Roberto Manfio,Homem,1
Celciane Alves Vasconcelos,Mulher,Fabiane Cristina Altino,Mulher,1
Celciane Alves Vasconcelos,Mulher,Fábio Carlos Moreno,Homem,1
Celciane Alves Vasconcelos,Mulher,Marcelo Ozawa de Sousa,Homem,1
Celciane Alves Vasconcelos,Mulher,Maria Renata de Mira Gobbo,Mulher,1
Celso Alberto Saibel Santos,Homem,Fábio Franco de Oliveira,Homem,1
Celso Alberto Saibel Santos,Homem,Roberto Colistete Junior,Homem,1
Celso Alberto Saibel Santos,Homem,Rodolfo da Silva Villaça,Homem,1
Cesar A. C. Teixeira,Homem,Isabela Zaine,Mulher,1
Cesar A. C. Teixeira,Homem,Kamila R. H. Rodrigues,Mulher,1
Cesar A. C. Teixeira,Homem,Maria da Graça C. Pimentel,Mulher,1
Claudia Aparecida Martins,Mulher,Henrique Camacho Farias,Homem,1
Claudia Motta,Mulher,Paulo Roberto Filho,Homem,1
Claudia Motta,Mulher,Walkir Brito,Homem,1
Claudia Motta,Mulher,Zeca Borges,Homem,1
Cleidson Souza,Homem,Emanuel Rodrigues,Homem,1
Cleidson Souza,Homem,Fernando Figueira Filho,Homem,1
Cleidson Souza,Homem,Filipe Coelho,Homem,1
Cleidson Souza,Homem,Leandro de Almeida Melo,Homem,1
Cleidson Souza,Homem,Nelson Tenório Jr.,Homem,1
Cláudia Caroline L. de Oliveira,Mulher,Marcos César da Rocha Seruffo,Homem,1
Cláudia Caroline L. de Oliveira,Mulher,Renan Patrick de C. Marçal,Homem,1
Cláudio Geyer,Homem,Douglas Scheunemann,Homem,1
Cláudio Geyer,Homem,João Lopes,Homem,1
Cristiano Galafassi,Homem,Eliseo Reategui,Homem,1
Cristiano Galafassi,Homem,Fabiane Galafassi,Mulher,1
Cristiano Galafassi,Homem,Rosa Vicari,Mulher,1
Cristiano Martins Monteiro,Homem,Cristina Duarte Murta,Mulher,2
Cristiano Martins Monteiro,Homem,Fábio Rocha da Silva,Homem,2
Cristiano R. Cervi,Homem,Daniel M. Kuhn,Homem,1
Cristiano R. Cervi,Homem,Edimar Mânica,Homem,1
Cristina Duarte Murta,Mulher,Fábio Rocha da Silva,Homem,2
Célia Ralha,Mulher,George Teodoro,Homem,1
Célia Ralha,Mulher,Rafael M. Ramos,Homem,1
Cícero F. F. C. Filho,Homem,Manoel S. L. Neto,Homem,1
Cícero F. F. C. Filho,Homem,Marly G. F. Costa,Mulher,1
Cícero Ferreira Fernandes Costa Filho,Homem,Marly Guimarães Fernandes Costa,Mulher,1
Daniel M. Kuhn,Homem,Edimar Mânica,Homem,1
Daniel S. Souza,Homem,Diego L. Cardoso,Homem,1
Daniel S. Souza,Homem,Igor W. A. Falcão,Homem,1
Daniel S. Souza,Homem,Marcos C. R. Seruffo,Homem,1
Daniel S. Souza,Homem,Paulo H. A. Pereira,Homem,1
Daniel S. Souza,Homem,Rafael F. Vieira,Homem,1
Daniel Victor Teixeira Lima,Homem,Francisco de Albuquerque Júnior,Homem,1
Daniel Victor Teixeira Lima,Homem,Marcelino Silva da Silva,Homem,1
Daniel Victor Teixeira Lima,Homem,Vanilze Vaz,Mulher,1
Daniel da A. Souza,Homem,Diego L. Cardoso,Homem,1
Daniel da A. Souza,Homem,Igor W. A. Falcão,Homem,1
Daniel da A. Souza,Homem,Paulo H. A. Pereira,Homem,1
Daniel da A. Souza,Homem,Rafael F. Vieira,Homem,1
Daniel da A. Souza,Homem,Rita de C. P. Cunha,Mulher,1
Daniel da Silva Souza,Homem,Marcos César da Rocha Seruffo,Homem,1
Daniel da Silva Souza,Homem,Marianne Eliasquevici,Mulher,1
Diego L. Cardoso,Homem,Igor W. A. Falcão,Homem,2
Diego L. Cardoso,Homem,Marcos C. R. Seruffo,Homem,1
Diego L. Cardoso,Homem,Paulo H. A. Pereira,Homem,2
Diego L. Cardoso,Homem,Rafael F. Vieira,Homem,2
Diego L. Cardoso,Homem,Rita de C. P. Cunha,Mulher,1
Diogo Lima Silva,Homem,Julio Cezar Silva,Homem,1
Douglas F. Pereira,Homem,Marcelo de Souza Júnior,Homem,2
Douglas F. Pereira,Homem,Pedro H. Bugatti,Homem,2
Douglas F. Pereira,Homem,Priscila T. M. Saito,Mulher,2
Douglas F. Pereira,Homem,Rafael S. Bressan,Homem,2
Douglas Scheunemann,Homem,João Lopes,Homem,1
Edimar Roque Martello Junior,Homem,Ricardo Parizotto,Homem,1
Edio Roberto Manfio,Homem,Fabiane Cristina Altino,Mulher,1
Edio Roberto Manfio,Homem,Fábio Carlos Moreno,Homem,2
Edio Roberto Manfio,Homem,Marcelo Ozawa de Sousa,Homem,1
Edio Roberto Manfio,Homem,Maria Renata de Mira Gobbo,Mulher,1
Eduardo Marques,Homem,Leandro A. Martinez,Homem,1
Eduardo Marques,Homem,Tiago Lobo,Homem,1
Efrem E. O. Lousada,Homem,Raquel A. F. Mini,Mulher,1
Elenir Lila Leobet de Lima,Mulher,Everton da Silva,Homem,1
Elenir Lila Leobet de Lima,Mulher,Fabrício Martins Lopes,Homem,1
Eliseo Reategui,Homem,Fabiane Galafassi,Mulher,1
Eliseo Reategui,Homem,Rosa Vicari,Mulher,1
Emanuel Rodrigues,Homem,Filipe Coelho,Homem,1
Emmanoel M. Sousa Junior,Homem,Frederico Lopes,Homem,1
Everton Cavalcante,Homem,Felipe Rocha,Homem,2
Everton Cavalcante,Homem,José Gameleira Neto,Homem,1
Everton Cavalcante,Homem,Luís Felipe Santos,Homem,1
Everton Cavalcante,Homem,Oswaldo de Oliveira,Homem,1
Everton Cavalcante,Homem,Sâmela Ferreira,Mulher,1
Everton Cavalcante,Homem,Thais Batista,Mulher,2
Everton da Silva,Homem,Fabrício Martins Lopes,Homem,1
Everton de Matos,Homem,Fabiano Hessel,Homem,1
