Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Peso
Carmem Hara,Mulher,Katriny Zamproni,Mulher,1
Carmem Hara,Mulher,Marcos Carrero,Homem,1
Carmem Hara,Mulher,Martin A. Musicante,Homem,1
Cecília Costa,Mulher,Fernando Trinta,Homem,1
Cecília Costa,Mulher,Ricardo Andrade,Homem,1
Cecília Costa,Mulher,Vitor Cortez,Homem,1
Cecília Costa,Mulher,Willian Almeida Rodrigues,Homem,1
Cecília Costa,Mulher,Windson Viana,Homem,1
Cesar D. P. Crovato,Homem,Cristiano A. da Costa,Homem,1
Cesar D. P. Crovato,Homem,Luis A. Z. Pozenato,Homem,1
Cesar D. P. Crovato,Homem,Rodrigo R. Righi,Homem,1
Cesar D. P. Crovato,Homem,Vinícius F. Rodrigues,Homem,1
Christiana Couto,Mulher,Gabriela Moutinho de Souza Dias,Mulher,1
Christiana Couto,Mulher,Gustavo Claudio Karl Couto,Homem,1
Christiana Couto,Mulher,Ronaldo Moreira Salles,Homem,1
Cintia Sonale Rebonatto,Mulher,Cássio Eckstein,Homem,1
Cintia Sonale Rebonatto,Mulher,Marcelo Trindade Rebonatto,Homem,1
Claudio L. Amorim,Homem,Flavia C. Delicato,Mulher,1
Claudio L. Amorim,Homem,Tiago C. de S. Xavier,Homem,1
Cleber S. Peter,Homem,Felipe Marques,Homem,1
Cleber S. Peter,Homem,Lucas Penning,Homem,1
Clebeson Canuto dos Santos,Homem,Felippe Mendonça de Queiroz,Homem,1
Clebeson Canuto dos Santos,Homem,Leonardo de Assis Silva,Homem,1
Clebeson Canuto dos Santos,Homem,Raquel Frizera Vassallo,Mulher,1
Cláudio Fernando Fernando Resin Geyer,Homem,João Luiz Grave Gross,Homem,1
Cláudio Geyer,Homem,Eduardo Abreu,Homem,1
Cláudio Geyer,Homem,Gerson Cavalheiro,Homem,1
Cláudio Geyer,Homem,João Lopes,Homem,1
Cláudio Geyer,Homem,Lucas Silva,Homem,1
Cláudio Geyer,Homem,Valderi Leithardt,Homem,1
Cláudio Geyer,Homem,Wemerson Parreira,Homem,1
